Name,UUID,Amount,Unit,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N20 [kg]
Electricity; at user; consumption mix - Bonneville Power Administration - BA,c3096d7d-a9c4-3a39-9814-65304089d770,1,MJ,0.033948623,7.70E-05,6.28E-06,6.93E-10,0.001911866,0.032336018,5.36E-05,3.60E-07
"Electricity; at grid; generation mix - New Harquahala Generating Company, LLC - HGBA",a33bcf89-5448-302e-bb89-7f181c41c6a5,1,MJ,0.151557018,0.000232556,1.63E-05,1.57E-10,0.008187585,0.127525387,0.000853106,4.75E-07
Electricity; at user; consumption mix - Portland General Electric Company - BA,ada5f6f3-eba8-35da-9ec4-df88c836ab68,1,MJ,0.073668575,0.000160656,1.14E-05,3.34E-10,0.005320265,0.067500398,0.000214305,5.82E-07
Electricity; at grid; generation mix - Seattle City Light,bfb38097-2bcd-3b0b-8322-30c9c40b6600,1,MJ,0.000841432,9.79E-06,6.18E-07,0,0.000347021,0.000836377,1.74E-07,7.28E-10
"Electricity; at grid; generation mix - NaturEner Wind Watch, LLC",fdb04d8f-f47f-3ec0-9e65-c4afc66f38ed,1,MJ,0.005357786,1.51E-05,9.94E-06,2.72E-12,0.000163366,0.005009489,1.18E-05,1.85E-08
Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,f03e070d-463f-3d2f-82aa-b5bffa1cabd8,1,MJ,0.249961015,0.000386402,1.67E-05,3.79E-09,0.006534266,0.240435877,0.000306593,3.41E-06
power plant construction - coal_const,5614332b-4bc3-3959-9c83-7f8eb03a734b,1,Item(s),26346.93378,80.29455841,43.70216333,0.005860788,1660.684398,22925.78238,86.17052601,0.768424735
Electricity; at grid; consumption mix - El Paso Electric Company - BA,a2a22977-2b95-358b-90ca-ca7f1fbeb167,1,MJ,0.200175008,0.000382235,2.56E-05,1.50E-09,0.011785768,0.189287847,0.00037394,1.43E-06
Electricity; at grid; generation mix - New York Independent System Operator,f9a4fbd6-1c28-3cae-9e49-d4d48f2ac7ba,1,MJ,0.093024929,0.000201804,1.44E-05,2.65E-10,0.005391041,0.087759708,0.000179319,7.62E-07
Electricity; at user; consumption mix - PowerSouth Energy Cooperative - BA,c8ef80e2-6e54-3f08-b030-d007405d48c8,1,MJ,0.212708087,0.000415657,2.56E-05,2.05E-09,0.011637356,0.202297374,0.000353054,1.85E-06
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",afb0a8ed-7e33-37ec-aa70-2286f8f84935,1,MJ,0.174156021,0.000315309,1.96E-05,1.94E-09,0.007824783,0.166104623,0.000268355,1.85E-06
Electricity; at grid; consumption mix - Tucson Electric Power - BA,e06c46bf-e2d6-33bf-90e7-1f90eeb98dcb,1,MJ,0.241349752,0.00041313,1.94E-05,5.72E-09,0.007868397,0.233806007,0.000230805,3.56E-06
natural gas extraction and processing - Anadarko,7285b97b-c655-3352-8f7f-b0709c45922b,1,MJ,0.017064815,9.89E-05,6.10E-06,0,0.00332374,0.010320777,0.000239589,1.34E-07
Electricity; at grid; consumption mix - Tampa Electric Company - BA,c06b0df8-1d75-39c6-aa87-49100c889658,1,MJ,0.208148202,0.000416586,2.15E-05,1.93E-09,0.008973782,0.198007635,0.000337615,2.47E-06
Electricity; at grid; generation mix - Tennessee Valley Authority,ee71aa8d-c4d2-35b3-b515-f4f7052a3a8b,1,MJ,0.138874867,0.000294567,1.30E-05,2.12E-09,0.004778404,0.132903284,0.000194854,1.74E-06
Electricity; at grid; consumption mix - ISO-NE - BA,bf2c7baa-45b5-30ae-b2a0-afe99ae2f9a5,1,MJ,0.105334842,0.000178631,1.50E-05,1.80E-09,0.00492307,0.100306241,0.00016297,1.57E-06
Electricity; at grid; generation mix - Ohio Valley Electric Corporation,a00ea62a-baec-367d-bcef-35ab852b8f66,1,MJ,0.325010956,0.000633713,2.50E-05,6.74E-09,0.011501942,0.299442165,0.000863639,5.02E-06
Electricity; at grid; generation mix - Hydro-Quebec TransEnergie,ca0ea6b1-b7d8-3972-b5e7-0258f5c70365,1,MJ,0.003405797,5.74E-06,1.32E-05,3.01E-10,5.62E-05,0.003058015,1.16E-05,9.58E-09
Electricity; at user; consumption mix - NorthWestern Corporation - BA,d640a8aa-93b2-3d0e-8012-24b79ead9694,1,MJ,0.209475466,0.000393544,1.58E-05,4.83E-09,0.006271157,0.20544471,0.000112746,3.15E-06
Electricity; at user; consumption mix - PJM - FERC,a2522eb7-a557-3242-8d26-042fc4b41195,1,MJ,0.157238862,0.000322444,1.56E-05,2.09E-09,0.00546088,0.145087855,0.000412102,2.08E-06
Electricity; at grid; generation mix - El Paso Electric Company,d4a6ced3-335c-3f08-a156-725e806334d8,1,MJ,0.184417729,0.000390203,2.74E-05,2.27E-10,0.012750534,0.17209031,0.000432614,6.97E-07
petroleum extraction and processing - RFO PADD 2,dc23b370-e5cb-30b6-8245-d5801cc0f7d5,1,MJ,0.014852923,1.20E-05,7.14E-07,2.12E-11,0.000321497,0.011404495,0.000121999,1.09E-07
Electricity; at grid; consumption mix - Turlock Irrigation District - BA,d0481c35-49ba-3f00-9213-1b087ac9198e,1,MJ,0.121694608,0.000199256,1.47E-05,3.55E-10,0.007329168,0.11020757,0.000403211,6.36E-07
petroleum extraction and processing - DFO PADD 3,8e59a94a-d5fe-3eeb-88a9-a5e3544951d8,1,MJ,0.018043283,2.41E-05,1.41E-06,2.37E-11,0.000595752,0.014491082,0.000125339,1.41E-07
"Electricity; at grid; generation mix - Gila River Power, LLC",fa3c1da6-732d-3554-93ec-6e9dd02a6705,1,MJ,0.156321526,0.00044009,2.96E-05,1.67E-10,0.015388422,0.132050554,0.000861488,4.88E-07
"Electricity; at grid; consumption mix - Public Utility District No. 2 of Grant County, Washington - BA",ff87ed0b-db00-312a-bca8-2b9f2d3b3456,1,MJ,0.001023123,2.65E-25,6.90E-27,0,6.29E-09,0.001010871,4.38E-07,1.56E-25
natural gas extraction and processing - Gulf,f744690b-98a0-3a09-bf7d-70ec6fcb4cae,1,MJ,0.024926561,0.000211251,1.32E-05,0,0.007334119,0.017298122,0.000271196,1.32E-07
Electricity; at grid; generation mix - Tampa Electric Company,e596ff4f-6050-3c0b-9689-e65620b395a3,1,MJ,0.205776615,0.000422419,2.19E-05,1.79E-09,0.009211201,0.195513112,0.000342533,2.42E-06
natural gas extraction and processing - Strawn,b1db8b2c-363a-3f62-914c-1f259066feb5,1,MJ,0.013959569,8.61E-05,5.34E-06,0,0.003012593,0.009672165,0.000151928,1.26E-07
Electricity; at user; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,c3557d8e-c91a-3e9c-bb90-47fe970a00ec,1,MJ,0.116820668,0.000217786,1.29E-05,1.63E-09,0.006196859,0.109773833,0.000237823,1.37E-06
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",b42ca74f-a649-32d5-9a9f-6a9846e7af51,1,MJ,0.181106862,0.000512412,2.67E-05,2.13E-09,0.011747768,0.170534916,0.000360389,1.68E-06
Electricity; at user; consumption mix - Turlock Irrigation District - BA,dc255d13-6512-372d-8738-48739679d529,1,MJ,0.127569924,0.000208875,1.54E-05,3.73E-10,0.007683015,0.115528302,0.000422677,6.67E-07
Electricity; at grid; consumption mix - Southwest - FERC,ccbab212-154f-3421-b714-c24346bece5b,1,MJ,0.159652386,0.000272908,1.67E-05,2.45E-09,0.00741286,0.150956131,0.000290594,1.92E-06
petroleum extraction and processing - DFO PADD 2,bdad9c51-928c-3577-b823-2c81a667c4fb,1,MJ,0.018209382,1.80E-05,1.05E-06,2.09E-11,0.000484406,0.014057213,0.00014665,1.47E-07
petroleum extraction and processing - RFO PADD 1,8fe45891-8f21-3009-883c-7f3ccb47d248,1,MJ,0.023870674,2.73E-05,1.61E-06,2.04E-11,0.000655127,0.019138096,0.000167422,1.53E-07
Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,ba6c7a86-9e38-357a-a11b-6fd0945a2e5e,1,MJ,0.124607242,0.000248943,1.72E-05,3.18E-10,0.00739782,0.117157481,0.000255787,9.59E-07
"nuclear fuel extraction, prococessing, and transport",98a4522b-da0c-3239-88db-74b15ba0288d,1,MJ,0.00491917,6.61E-05,5.93E-06,1.13E-12,0.000556082,0.003587522,4.22E-05,2.18E-07
Electricity; at grid; consumption mix - Southwestern Power Administration - BA,ec5c89b7-509e-3fd7-9308-f51554c1b529,1,MJ,0.079741611,0.000271408,7.27E-06,1.78E-09,0.002195278,0.077181558,8.02E-05,1.14E-06
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,e4fcd21b-a651-31c8-a123-ff308a80e080,1,MJ,0.032628519,7.40E-05,6.04E-06,6.66E-10,0.001837523,0.031078621,5.15E-05,3.46E-07
Electricity; at grid; generation mix - California Independent System Operator,a059f167-f083-3395-b469-d71ef5f784e9,1,MJ,0.099463997,0.000212334,1.60E-05,3.76E-10,0.009078331,0.089750577,0.00033883,7.21E-07
natural gas extraction and processing - Piceance,f7cbad89-16f4-3c18-90b9-f7340aab68e4,1,MJ,0.017510155,8.57E-05,5.30E-06,0,0.002966831,0.009604435,0.000281139,1.28E-07
natural gas extraction and processing - Green River,5d2c8c18-5a12-39b1-8c45-376615518788,1,MJ,0.013925923,8.22E-05,5.09E-06,0,0.002847428,0.009479877,0.00015758,1.28E-07
"Electricity; at grid; consumption mix - New Smyrna Beach, Utilities Commission of - BA",e63d16a5-d112-3572-9a5e-fab2bfcbedfd,1,MJ,0,0,0,0,0,0,0,0
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",ef86245c-837b-3555-b556-d1f5346f2f76,1,MJ,0.167049949,0.000302443,1.88E-05,1.86E-09,0.007505509,0.159327071,0.000257405,1.78E-06
natural gas extraction and processing - Appalachian,ed3ccae2-578f-3b4a-bc73-e3e7b4be85cb,1,MJ,0.014221207,8.61E-05,6.36E-06,0,0.002943978,0.010691196,0.000124777,1.37E-07
Electricity; at grid; generation mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,d48a6fc0-ff40-3124-997a-ba5e7955fef2,1,MJ,0.259072533,0.000381527,1.86E-05,3.22E-09,0.006830146,0.249738503,0.000293034,4.07E-06
natural gas extraction and processing - Fort Worth,3bb3995c-5f0f-356d-8811-ed38be5b5def,1,MJ,0.015668123,9.30E-05,5.78E-06,0,0.003276517,0.010160318,0.000195514,1.26E-07
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans",a69192a9-0193-350f-ae7a-b24357e2838f,1,MJ,0.170064137,0.000307672,1.92E-05,1.89E-09,0.007657136,0.162198605,0.000262217,1.80E-06
Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,a9420547-6281-38fe-bb48-a32546ed849f,1,MJ,0.138874867,0.000294567,1.30E-05,2.12E-09,0.004778404,0.132903284,0.000194854,1.74E-06
Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,eb5a96ac-8afe-33f5-9d84-989feb43565e,1,MJ,0.14563452,0.000237067,1.39E-05,1.66E-09,0.00503684,0.139678489,0.000191867,2.01E-06
Electricity; at grid; consumption mix - Idaho Power Company - BA,b62e0b13-f036-3b07-aa74-c36a6c505d1a,1,MJ,0.030763034,7.41E-05,7.09E-06,1.89E-10,0.002331759,0.028389913,8.24E-05,1.99E-07
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,db0fc1d8-d8ca-3875-8058-f9b4b4d01ac5,1,MJ,0.102168104,0.00016926,1.18E-05,1.39E-09,0.003673086,0.097279541,0.000159935,1.27E-06
Electricity; at grid; generation mix - Idaho Power Company,a82e7fb8-6982-311f-a910-456616f93812,1,MJ,0.030011489,7.40E-05,7.36E-06,4.78E-11,0.002454615,0.027432181,9.02E-05,1.52E-07
petroleum extraction and processing - DFO PADD 4,f38c3ec6-e800-3722-ae22-f990273aa501,1,MJ,0.018044129,1.79E-05,9.24E-07,1.60E-11,0.000437349,0.014510168,0.000124165,1.74E-07
natural gas extraction and processing - East Texas,111b690d-a86d-3388-8980-8fb6f1d1bb34,1,MJ,0.015034795,8.56E-05,5.31E-06,0,0.002989008,0.009621165,0.000192145,1.27E-07
Electricity; at grid; consumption mix - NorthWestern Corporation - BA,fdf79353-fbd3-30b4-aa15-267a212b9da4,1,MJ,0.204083293,0.000383413,1.54E-05,4.70E-09,0.006109729,0.200156294,0.000109844,3.07E-06
Electricity; at grid; consumption mix - PacifiCorp East - BA,a9eed0a6-6813-3083-881a-ce9f6856fe0f,1,MJ,0.231403921,0.000437934,1.98E-05,4.97E-09,0.008988391,0.224177202,0.000223996,3.46E-06
Electricity; at grid; generation mix - Imperial Irrigation District,c9a7d4cf-7c57-3fe5-9d83-acbfb3434148,1,MJ,0.084030752,9.41E-05,5.21E-06,5.47E-11,0.002451869,0.072165829,0.000412026,1.20E-06
"Electricity; at user; consumption mix - Arlington Valley, LLC - AVBA - BA",c8caa143-b258-3aa7-8c7e-4615424941eb,1,MJ,0.166864779,0.000251868,1.75E-05,1.56E-10,0.008877772,0.140650874,0.000930652,5.17E-07
Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,a32b02de-c81f-3fba-bb48-58f5f5d9c2c8,1,MJ,0.241669282,0.000311132,1.75E-05,4.41E-09,0.006311439,0.229283856,0.00040969,3.25E-06
petroleum extraction and processing - DFO PADD 5,b5f585ea-a588-39bb-81dd-fac996980d86,1,MJ,0.036916431,4.15E-05,2.44E-06,3.81E-11,0.001126528,0.030442017,0.000227514,3.47E-07
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.",d6a2dbb1-9391-3306-b712-d7706e4eadb8,1,MJ,0.172671507,0.000488546,2.55E-05,2.03E-09,0.011200596,0.162591966,0.000343603,1.60E-06
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,c69563ec-887a-35ca-acc5-820ae0ba5f72,1,MJ,0.14502202,0.000307606,1.36E-05,2.21E-09,0.004989916,0.138786111,0.000203479,1.82E-06
"Electricity; at user; consumption mix - Gila River Power, LLC - BA",ade9b817-b7d6-3ede-a5f9-34572399bc89,1,MJ,0.162195294,0.000456627,3.07E-05,1.73E-10,0.01596664,0.137012342,0.000893858,5.07E-07
Electricity; at grid; generation mix - PUD No. 1 of Douglas County,c714a6f6-3aa6-3607-9613-076dde33909b,1,MJ,0.000193103,1.09E-25,2.85E-27,0,1.17E-09,0.000190825,8.13E-08,6.43E-26
natural gas extraction and processing - Permian,830a756a-1b95-38da-bc4b-86f0ca4ee07c,1,MJ,0.013944753,8.87E-05,5.45E-06,0,0.002923035,0.009831002,0.000145653,1.34E-07
"Electricity; at grid; consumption mix - Arlington Valley, LLC - AVBA - BA",d7f09b44-a4d6-3b83-9a11-28e977c200ee,1,MJ,0.16082191,0.000242747,1.69E-05,1.51E-10,0.008556271,0.13555732,0.000896949,4.98E-07
natural gas extraction and processing - Arkla,f7770c48-8c5e-31c5-8d0c-c1a216b65ffb,1,MJ,0.014246115,8.86E-05,5.48E-06,0,0.003009333,0.009763422,0.000158871,1.29E-07
natural gas extraction and processing - San Juan,c28e4f4e-efca-360e-9917-4062f8a1d5f0,1,MJ,0.022558377,0.000108328,6.75E-06,0,0.003836943,0.010998073,0.000411671,1.27E-07
petroleum extraction and processing - RFO PADD 3,e66feab0-54e1-347e-bb0a-2e93dca7d48f,1,MJ,0.024097617,2.94E-05,1.72E-06,3.76E-11,0.000708143,0.019600225,0.0001587,1.83E-07
Electricity; at grid; consumption mix - Arizona Public Service Company - BA,b47455f1-fc68-33b2-a2a8-217485ef8bba,1,MJ,0.220202113,0.000481693,2.75E-05,2.98E-09,0.013338255,0.208688286,0.000381005,3.01E-06
natural gas extraction and processing - Arkoma,b0c59e83-8706-3ea9-8a4a-0c6bcd0fe2ec,1,MJ,0.01784726,9.04E-05,5.61E-06,0,0.003151505,0.009970951,0.0002801,1.26E-07
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,b55ec9c6-062f-3cd6-aee0-940f3c589726,1,MJ,0.113382503,0.000227954,1.36E-05,2.09E-09,0.004776765,0.103991208,0.000317772,1.60E-06
natural gas extraction and processing - Uinta,39c5666d-d128-3ccc-8c39-813b27342e0e,1,MJ,0.016265107,8.44E-05,5.22E-06,0,0.002920712,0.009638416,0.000235459,1.28E-07
Electricity; at grid; consumption mix - Seminole Electric Cooperative - BA,db2921f6-74d4-3e2f-9524-417d2e19c826,1,MJ,0.238260071,0.000368314,1.59E-05,3.62E-09,0.00622839,0.229180814,0.000292241,3.25E-06
"Electricity; at user; consumption mix - Public Utility District No. 2 of Grant County, Washington - BA",ec6a9894-9221-34d6-9814-b0179435bac8,1,MJ,0.001064549,2.75E-25,7.17E-27,0,6.55E-09,0.001051801,4.55E-07,1.62E-25
Electricity; at grid; consumption mix - SPP - FERC,f21316ee-5206-3cb6-80ac-9516cfd74abf,1,MJ,0.185304875,0.000430716,1.97E-05,3.97E-09,0.007107383,0.178722499,0.000210699,2.42E-06
petroleum extraction and processing - RFO PADD 4,cb4146a8-6e57-37f1-9366-0913ebe21ee4,1,MJ,0.016595295,1.42E-05,7.18E-07,1.70E-11,0.000336929,0.01328213,0.00011656,1.53E-07
Electricity; at grid; generation mix - Arizona Public Service Company,ee9eb53a-3a0f-31cb-b1f3-ab3588e72891,1,MJ,0.225577831,0.000505523,2.85E-05,3.31E-09,0.013764259,0.215580305,0.000323651,3.33E-06
Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,d1e20ef2-31c8-3305-969a-e008341a50e1,1,MJ,0.193078815,0.000319286,1.81E-05,2.07E-09,0.007707375,0.184294805,0.000293386,2.03E-06
Electricity; at grid; consumption mix - PowerSouth Energy Cooperative - BA,b11b441f-ee64-3f38-b52a-8ad61471cec0,1,MJ,0.205814415,0.000402186,2.48E-05,1.98E-09,0.0112602,0.195741104,0.000341611,1.79E-06
Electricity - SOLAR - California Independent System Operator,27219da0-7a4d-3b48-9532-9cfe3cf64cd1,1,MJ,0.003912779,1.22E-05,7.95E-07,9.04E-11,0.000197326,0.003598936,9.01E-06,1.38E-08
"Electricity - OIL - Puget Sound Energy, Inc.",3e7a9398-55c0-3350-bd3a-27c3018ea97c,1,MJ,0.3861563,0.003661444,0.000336295,1.11E-08,0.112582524,0.358747924,0.000890559,4.23E-06
Electricity - OIL - PacifiCorp East,85490328-84e8-3100-aa28-8f6310e0836d,1,MJ,1.680791062,0.006956106,0.004291141,3.27E-07,0.171218732,1.479737511,0.005381571,4.25E-05
Electricity - OIL - Idaho Power Company,5ce6f4a5-b838-36af-9a69-a021f4b50c54,1,MJ,1.224786671,0.006710118,0.002752709,1.99E-07,0.181037796,1.095129374,0.003517648,2.76E-05
Electricity - SOLAR - Gainesville Regional Utilities,613ebe93-0bde-3bcb-b8b5-cb14805ad17e,1,MJ,0.00705477,2.03E-05,1.66E-06,1.42E-10,0.000342728,0.006474749,1.49E-05,2.02E-08
Electricity - OIL - California Independent System Operator,83e64e29-48d4-32b1-8cc5-24e3ae1e8b78,1,MJ,0.333840328,0.010565095,0.000682919,3.03E-09,0.361603645,0.315154967,0.000624505,3.09E-06
Electricity - WIND - Bonneville Power Administration,ad083e17-3c94-3f6a-b519-74aa11c9c070,1,MJ,0.008043462,2.24E-05,1.51E-05,4.07E-12,0.000242411,0.007526255,1.75E-05,2.83E-08
Electricity - OTHF - California Independent System Operator,a46ede0d-d1b4-3f52-a864-758e172fabab,1,MJ,1.48E-21,8.58E-24,2.24E-25,4.86E-35,1.25E-22,5.08E-24,5.05E-24,5.05E-24
Electricity - OIL - New York Independent System Operator,f9e6723a-fe29-3ebf-bb64-94c4038410b8,1,MJ,0.41070196,0.001821056,0.000261288,1.68E-08,0.029656074,0.390196402,0.000616725,4.64E-06
Electricity - SOLAR - Los Angeles Department of Water and Power,8787fa04-1f52-3de5-8418-b26b64e09fb9,1,MJ,0.006573971,1.90E-05,1.55E-06,1.33E-10,0.000318026,0.006030256,1.40E-05,1.85E-08
"Electricity - OIL - PJM Interconnection, LLC",8e409c75-fa69-376b-9bbf-33ef82c74140,1,MJ,0.417873703,0.00083793,4.76E-05,7.37E-09,0.00843893,0.401072517,0.000562064,2.87E-06
"Electricity - OIL - Midcontinent Independent System Operator, Inc.",6f330494-c196-3af7-b200-1748a4fb891b,1,MJ,0.656411619,0.004030027,0.000884755,5.72E-08,0.112942733,0.59921902,0.001699812,1.03E-05
Electricity - SOLAR - Southeastern Power Administration,f8c1226d-40be-3fcb-bcf3-5190846415f4,1,MJ,0.005805986,1.69E-05,1.35E-06,1.20E-10,0.000282524,0.005327125,1.24E-05,1.68E-08
Electricity - OTHF - Tampa Electric Company,7175507b-becc-37d6-ba53-31538e24f9fd,1,MJ,2.52E-22,1.45E-24,3.79E-26,0,2.12E-23,8.56E-25,8.56E-25,8.56E-25
"Electricity - WIND - Midcontinent Independent System Operator, Inc.",87580111-c165-31b4-9145-ad0a1e039b7f,1,MJ,0.007445066,2.08E-05,1.32E-05,4.24E-12,0.000226449,0.006964564,1.62E-05,2.49E-08
Electricity - WIND - Los Angeles Department of Water and Power,ac1c0ea8-6d4b-3a7e-b099-fbb201b51985,1,MJ,0.009272802,2.60E-05,1.74E-05,4.63E-12,0.00028208,0.008671217,2.03E-05,3.22E-08
Electricity - SOLAR - Western Area Power Administration - Rocky Mountain Region,6f21f09e-1be2-30d2-8b7f-609883f1087d,1,MJ,0.004546564,1.49E-05,8.12E-07,1.14E-10,0.000236258,0.004190951,1.10E-05,1.86E-08
Electricity - SOLARTHERMAL - Arizona Public Service Company,8e59d5d3-c9fc-33b2-bbbf-a673de0c4ce4,1,MJ,0.000425036,1.32E-06,6.36E-08,1.61E-12,0.000122045,0.000400089,8.58E-07,2.00E-09
"Electricity - WIND - NaturEner Wind Watch, LLC",3c40d33e-5dea-3965-aa3a-9aa97c0f23ae,1,MJ,0.005357786,1.51E-05,9.94E-06,2.72E-12,0.000163366,0.005009489,1.18E-05,1.85E-08
Electricity - WIND - Avista Corporation,03be8b5a-8943-3734-b827-f69fb42ab9d6,1,MJ,0.008126453,2.22E-05,1.64E-05,3.05E-12,0.00024256,0.007613006,1.75E-05,2.98E-08
Electricity - SOLAR - Tennessee Valley Authority,83a5a49d-64f9-3fa7-b206-f3a46579f4fa,1,MJ,0.015681469,4.53E-05,3.71E-06,3.21E-10,0.00076082,0.014382802,3.34E-05,4.42E-08
"Electricity - OIL - Associated Electric Cooperative, Inc.",d1933f7d-8c6b-352d-81db-7e9526f88ca7,1,MJ,0.605214308,0.004287329,0.001167028,7.77E-08,0.124647631,0.547478053,0.001618862,1.17E-05
Electricity - WIND - Arizona Public Service Company,2f55370f-28cc-372f-82da-dae49d948909,1,MJ,0.010523121,2.95E-05,1.90E-05,5.75E-12,0.000320239,0.009837751,2.31E-05,3.51E-08
Electricity - WIND - Tennessee Valley Authority,7f87c929-212a-3cbe-bf37-bfa2a93bdc16,1,MJ,0.01377112,3.91E-05,2.28E-05,9.17E-12,0.000422166,0.012853837,3.04E-05,4.22E-08
Electricity - OIL - Southwest Power Pool,5064f49a-38b4-3cf7-9506-a81fadd508e5,1,MJ,0.791484408,0.004216933,0.001308937,9.23E-08,0.103854055,0.717509389,0.00211011,1.45E-05
