Taxonomy,Category,Sub-category,Flow,UUID,Location Code,Location Name,Process Type,Description,Qty,Unit,GWP,AP,EP,ODP,POCP,CO2,CH4,N2O,Electricity_GWP,Electricity_AP,Electricity_EP,Electricity_ODP,Electricity_POCP,Electricity_CO2,Electricity_CH4,Electricity_N2O,Electricity_Qty,Electricity_Unit,Nonrenewable Fuel Combustion (Direct)_GWP,Nonrenewable Fuel Combustion (Direct)_AP,Nonrenewable Fuel Combustion (Direct)_EP,Nonrenewable Fuel Combustion (Direct)_ODP,Nonrenewable Fuel Combustion (Direct)_POCP,Nonrenewable Fuel Combustion (Direct)_CO2,Nonrenewable Fuel Combustion (Direct)_CH4,Nonrenewable Fuel Combustion (Direct)_N2O,Nonrenewable Fuel Combustion (Direct)_Qty,Nonrenewable Fuel Combustion (Direct)_Unit,Renewable Fuel Combustion (Direct)_GWP (AR5) [kg CO2 eq],Renewable Fuel Combustion (Direct)_AP,Renewable Fuel Combustion (Direct)_EP,Renewable Fuel Combustion (Direct)_ODP,Renewable Fuel Combustion (Direct)_POCP,Renewable Fuel Combustion (Direct)_CO2,Renewable Fuel Combustion (Direct)_CH4,Renewable Fuel Combustion (Direct)_N2O,Renewable Fuel Combustion (Direct)_Qty,Renewable Fuel Combustion (Direct)_Unit,Compound/Substance Name,URL creation,PUG-REST,(text split 1),(text split 2),InChIKey,Kingdom,Superclass,Class,Subclass,Parent level 1,Parent level 2,Parent level 3,Stored Biogenic Carbon?,Biomaterial Type/Species/Category,%C (dry mass basis),Density Needed?,Density [kg/unit] (dry basis),Biogenic Carbon Content [kg C/unit],Biogenic CO2 Content [kg CO2/unit],GWP - Biogenic CO2 stored [kgCO2eq],Growth Model Type,Rotation period [yrs],Mineral Carbonation Potential?,Accelerated Carbonation Uptake [kgCO2],GWP-total - Accelerated Carbonation Uptake [kgCO2eq]
Mining (except Oil and Gas)/Bit. Coal and Lignite Surface Mining,Mining (except Oil and Gas),Bit. Coal and Lignite Surface Mining,Coal stockpile stacker;  Manufacture; At point-of-sale,92634c79-3ac0-4119-88fa-57dfbecffabc,AU,Australia,UNIT_PROCESS,"This process is part of the NETL Unit Process Library.  To access the library and the original dataset:
1) Navigate to the NETL LCA home page (http://www.netl.doe.gov/lca)
2) Then navigate to the “Unit Process Library” 
3) From the library, the unit process of interest can be found either through the ""Complete Listing of the Unit Process Library link"" or through the link to the ""Unit Process Database"" spreadsheet
4) For each process, a Data Sheet (DS) and Data File (DF) are available

BRIEF DESCRIPTION
This unit process is based on advertised specifications for an Xstrata Rolleston coal stacker. Assumes stockpile stacker constructed entirely of steel plate, with negligible amounts of other materials.									

GOAL AND SCOPE
The scope of this unit process covers the materials required for the construction of a single coal stockpile stacker needed to stockpile processed Illinois No. 6 bituminous coal on the mine site, until it is time for the coal to be loaded into railcars and transported to the energy conversion facility. The process is based on the reference flow of 1 piece of coal stockpile stacker, as described below and shown in associated documentation (referenced below). The coal stockpile stacker is assumed to be constructed entirely of steel; other materials are assumed to be negligible. By default, all steel within this study was assumed to be steel plate, based on available GaBi profiles, unless other steel types were specified per available data, or a higher grade of steel would be required, per NETL engineering judgment. Therefore, all steel considered in this unit process was assumed to be steel plate.

This construction unit process for the coal stockpile stacker is combined with other pieces of equipment used during coal preparation on site, under Life Cycle (LC) Stage #1, in an individual assembly unit process, Coal preparation facility; Multiple processes; Illinois No. 6 Coal, Underground coal mine, U.S. This assembly unit process quantifies the fraction of each piece of equipment needed under LC Stage #1 to produce 1 kg of Illinois No. 6 bituminous coal ready for transport (LC Stage #2) to the energy conversion facility (LC Stage #3).

BOUNDARY AND DESCRIPTION
An overview of the boundary of this unit process is shown in the associated documentation (referenced below). Emissions related to the physical assembly of the coal stockpile stacker (e.g., emitted while putting together the components of the coal stockpile stacker, including transport of those components) are not considered in this study. Upstream emission from the production of raw materials used for the construction of the coal stockpile stacker (e.g., steel plate) are calculated outside the boundary of this unit process, based on proprietary profiles available in the GaBi model. As shown in the associated documentation and discussed above, the coal stockpile stacker constructed in this unit process is incorporated into the construction assembly for LC Stage #1.

The total weight of a coal stockpile stacker was readily available, but reliable data for the material breakdown of the stockpile stacker were not. The coal stockpile stacker is designed such that it can rotate 360°, but there is not information on the materials needed for such actions. Therefore, the stockpile stacker was assumed to be composed solely of steel plate. 

Total weight for one stockpile stacker was found to be approximately 450,000 kg (992,080 lbs) (Gay 2006). Based on the assumption that the stockpile stacker is constructed entirely out of steel plate, the total weight is assigned to this material. Additional detail regarding input and output flows, including calculation methods, is contained in the associated documentation (referenced in the Citation and Associated Documentation section below).

CITATION AND ASSOCIATED DOCUMENTATION
This document should be cited as: 
National Energy Technology Laboratory (NETL). 2015. NETL Life Cycle Inventory Data – Unit Process: Coal stockpile stacker;  Manufacture; At point-of-sale. U.S. Department of Energy, National Energy Technology Laboratory. Last Updated: September 2015 (Version 01). Retrieved on [DATE] from [URL for this dataset].

This dataset is part of the NETL Unit Process Library.  The Library offers additional information concerning this dataset in the form of a Detailed Spreadsheet  Documentation (DS) file and a Process Documentation File (DF).  The DS file  is an Excel file that contains all of the parameters, inputs, and outputs for a given system as well as background data, calculations and quality scores.  The DF file is a PDF document that contains major assumptions and data sources that are the basis for each unit process.  The NETL Unit Process Library is located on the NETL website (netl.doe.gov) under Research / Energy Analysis / Energy Trends and Issues / Life Cycle Analysis / Unit Process Library.

This dataset was converted directly from the DS with additional supporting information provided by the DF.  Full citations for the DS and DF are given below.

DS File
National Energy Technology Laboratory (NETL). 2010. NETL Life Cycle Inventory Data – Unit Process: Coal Stockpile Stacker, 450 Tonnes, Construction. U.S. Department of Energy, National Energy Technology Laboratory. Last Updated: February 2010 (version 01). Retrieved on 6/30/2014 from: http://www.netl.doe.gov/File%20Library/Research/Energy%20Analysis/Life%20Cycle%20Analysis/UP_Library/DS_Stage1_C_Coal_Stockpile_Stacker_450_Tonne_2010-01.xls

DF File
National Energy Technology Laboratory (NETL). 2010. NETL Life Cycle Inventory Data – Unit Process: Coal Stockpile Stacker, 450 Tonnes, Construction. U.S. Department of Energy, National Energy Technology Laboratory. Last Updated: January 2010 (version 01). Retrieved on 6/30/2014 from: http://www.netl.doe.gov/File%20Library/Research/Energy%20Analysis/Life%20Cycle%20Analysis/UP_Library/DF_Stage1_C_Coal_Stockpile_Stacker_450_Tonne_2010-01.pdf",1,Item(s),341181.1285,0,0,0,0,329641.691,250.043396,17.12536777,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,,,,,,,,,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
"21: Mining, Quarrying, and Oil and Gas Extraction/2121: Coal Mining","21: Mining, Quarrying, and Oil and Gas Extraction",2121: Coal Mining,coal transport - Barge,4921deff-38c1-3912-b780-4b95870312f4,,,LCI_RESULT,"The cradle-to-gate inventory for the transportation of coal aggregated to basin, mine type, and coal type groups and also for the various modes of coal transportation. This inventory includes impacts from fuel combustion for the various modes of coal transportation to power plants - train, truck, tug and barge, ocean vessel, lake vessel, and conveyer. The aggregated inventory is created by using the transportation distances for each mode of transportation for each power plant reporting coal receipts in EIA for the year 2016. These inventories are then added to the power plant as upstream impacts similar to upstream coal. Details on the coal modeling can be found in the NETL Coal Baseline report to be published in the near future: netl.doe.gov/LCA This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1,t*km,0.026510248,0.000660898,3.88E-05,4.93E-11,0.014370741,0.026441365,8.61E-07,1.68E-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,,,,,,,,,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
"21: Mining, Quarrying, and Oil and Gas Extraction/2121: Coal Mining","21: Mining, Quarrying, and Oil and Gas Extraction",2121: Coal Mining,coal transport - Lake Vessel,932eb6ce-8bf7-3150-8c54-c74077325e7e,,,LCI_RESULT,"The cradle-to-gate inventory for the transportation of coal aggregated to basin, mine type, and coal type groups and also for the various modes of coal transportation. This inventory includes impacts from fuel combustion for the various modes of coal transportation to power plants - train, truck, tug and barge, ocean vessel, lake vessel, and conveyer. The aggregated inventory is created by using the transportation distances for each mode of transportation for each power plant reporting coal receipts in EIA for the year 2016. These inventories are then added to the power plant as upstream impacts similar to upstream coal. Details on the coal modeling can be found in the NETL Coal Baseline report to be published in the near future: netl.doe.gov/LCA This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1,t*km,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,,,,,,,,,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
"21: Mining, Quarrying, and Oil and Gas Extraction/2121: Coal Mining","21: Mining, Quarrying, and Oil and Gas Extraction",2121: Coal Mining,coal transport - Ocean Vessel,eafa4d82-f7df-3347-8be8-91314cc72b9a,,,LCI_RESULT,"The cradle-to-gate inventory for the transportation of coal aggregated to basin, mine type, and coal type groups and also for the various modes of coal transportation. This inventory includes impacts from fuel combustion for the various modes of coal transportation to power plants - train, truck, tug and barge, ocean vessel, lake vessel, and conveyer. The aggregated inventory is created by using the transportation distances for each mode of transportation for each power plant reporting coal receipts in EIA for the year 2016. These inventories are then added to the power plant as upstream impacts similar to upstream coal. Details on the coal modeling can be found in the NETL Coal Baseline report to be published in the near future: netl.doe.gov/LCA This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1,t*km,0.015750463,0.000392605,2.31E-05,2.93E-11,0.008536906,0.015709543,5.12E-07,9.98E-08,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,,,,,,,,,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
"21: Mining, Quarrying, and Oil and Gas Extraction/2121: Coal Mining","21: Mining, Quarrying, and Oil and Gas Extraction",2121: Coal Mining,coal transport - Railroad,65a50872-255f-3db5-bf8a-ce8ba3b9656e,,,LCI_RESULT,"The cradle-to-gate inventory for the transportation of coal aggregated to basin, mine type, and coal type groups and also for the various modes of coal transportation. This inventory includes impacts from fuel combustion for the various modes of coal transportation to power plants - train, truck, tug and barge, ocean vessel, lake vessel, and conveyer. The aggregated inventory is created by using the transportation distances for each mode of transportation for each power plant reporting coal receipts in EIA for the year 2016. These inventories are then added to the power plant as upstream impacts similar to upstream coal. Details on the coal modeling can be found in the NETL Coal Baseline report to be published in the near future: netl.doe.gov/LCA This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1,t*km,0.033322004,0.00081594,4.77E-05,6.80E-11,0.017690285,0.033237318,1.06E-06,2.07E-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,,,,,,,,,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
"21: Mining, Quarrying, and Oil and Gas Extraction/2121: Coal Mining","21: Mining, Quarrying, and Oil and Gas Extraction",2121: Coal Mining,coal transport - Truck,98979fa1-6144-34de-a30a-182deb581a8e,,,LCI_RESULT,"The cradle-to-gate inventory for the transportation of coal aggregated to basin, mine type, and coal type groups and also for the various modes of coal transportation. This inventory includes impacts from fuel combustion for the various modes of coal transportation to power plants - train, truck, tug and barge, ocean vessel, lake vessel, and conveyer. The aggregated inventory is created by using the transportation distances for each mode of transportation for each power plant reporting coal receipts in EIA for the year 2016. These inventories are then added to the power plant as upstream impacts similar to upstream coal. Details on the coal modeling can be found in the NETL Coal Baseline report to be published in the near future: netl.doe.gov/LCA This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1,t*km,0.291694073,0.004177519,0.000244384,3.47E-10,0.090790753,0.290370561,7.82E-06,4.16E-06,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,,,,,,,,,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
"21: Mining, Quarrying, and Oil and Gas Extraction/2122: Metal Ore Mining","21: Mining, Quarrying, and Oil and Gas Extraction",2122: Metal Ore Mining,Cobalt ore; underground/open-pit mining; at mine,4fd964ba-76be-4099-8d94-9379678f6eb2,CD,"Congo, the Democratic Republic of the",UNIT_PROCESS,"The functional unit for this model is one kilogram of cobalt ore with a cobalt content of 0.47%. The technical scope includes the cradle-to-gate mining of cobalt ore. The system boundary includes incoming transport, mining, and disposal of process wastes. This study adopted the 2017 reserve-weighted average ore grade, which is 2.44% copper and 0.47% cobalt. Primary material, energy, water, and emissions flows for mining were collected from Tenke Fungurume Mining (TFM) in the Democratic Republic of the Congo and were converted into an inventory representative of per-unit-mass of cobalt mined. ",1,kg,0.010565878,0.000120353,1.21E-05,2.10E-11,0.004221461,0.010466234,1.40E-06,2.28E-07,0,0,0,0,0,0,0,0,0,N/A,0.010441804,0.000119822,1.20E-05,2.08E-11,0.004203276,0.010343221,1.39E-06,2.25E-07,0.118400506,MJ,0,0,0,0,0,0,0,0,0,MJ,cobalt,#N/A,#N/A,#N/A,#N/A,GUTLYIVDDKVIGB-UHFFFAOYSA-N,Inorganic compounds,Homogeneous metal compounds,Homogeneous transition metal compounds,,Homogeneous transition metal compounds,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
31-33: Manufacturing/3251: Basic Chemical Manufacturing,31-33: Manufacturing,3251: Basic Chemical Manufacturing,Cobalt sulfate; at plant ,16f46b37-1817-4cd7-87c4-fecdc5a0e1c8,CN,China,UNIT_PROCESS,"The functional unit for this model is one kilogram of cobalt sulfate. The technical scope includes the gate-to-gate production of cobalt sulfate. The system boundary includes incoming transport, manufacturing, and disposal of process wastes. Incoming crude cobalt hydroxide, 35% cobalt content, is produced in the Democratic Republic of Congo and is then sent to China for further refining. Data were provided by the top three refined cobalt producers in China, Huayou Cobalt, GEM, and Jinchuan, which accounted for over 60% of China’s total refined cobalt output in 2016. This model relies upon data from the Tongxiang plant of Huayou cobalt. Please see the data selection field for more details on how this data was chosen.
",1,kg,6.108586727,2.789400962,0.001944716,9.41E-08,0.681629127,5.687759214,0.013707194,0.000138061,0.935000414,0.007400965,0.00011513,1.84E-10,0.064459083,0.886412998,0.001538523,2.08E-05,4.572322049,MJ,0.760349114,0.001023347,6.29E-05,7.71E-11,0.03255811,0.695885089,0.002190103,1.18E-05,12.05917848,MJ,0,0,0,0,0,0,0,0,0,MJ,cobalt sulfate,#N/A,#N/A,#N/A,#N/A,KTVIXTQDYHMGHF-UHFFFAOYSA-L,Inorganic compounds,Mixed metal/non-metal compounds,Transition metal oxoanionic compounds,Transition metal sulfates,Transition metal sulfates,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
"31-33: Manufacturing/3328: Coating, Engraving, Heat Treating, and Allied Activities",31-33: Manufacturing,"3328: Coating, Engraving, Heat Treating, and Allied Activities","Coil, coating, m2, at plant",c493f95f-0143-3c66-b62a-3494133eb337,RNA,North America,UNIT_PROCESS,"The coil coating process includes all known cradle-to-gate processes necessary for the treatment of metallic sheets. The process however omits the production of the metal coils themselves as the feedstock metal can vary depending on the product.  Raw materials include all known pre-treatments, cleaners, paints, and packaging materials to protect the finished sheets--as well as inbound transport.  Manufacturing processes require electricity, heat from natural gas, and process water.  Air and water emissions are captured in the output of the process.",1,m2,1.163605618,0.005417728,0.000571656,1.05E-08,0.175147335,1.126247159,0.001228597,1.04E-05,0.606336724,0.001310881,6.94E-05,9.04E-09,0.027882343,0.573794801,0.001086766,7.25E-06,3.7732932,MJ,0.011555163,1.58E-05,9.71E-07,1.17E-12,0.000502737,0.010604873,3.38E-05,1.12E-08,0.183611835,MJ,0,0,0,0,0,0,0,0,0,MJ,,,,,,,,,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
31-33: Manufacturing/3312: Steel Product Manufacturing from Purchased Steel,31-33: Manufacturing,3312: Steel Product Manufacturing from Purchased Steel,"Cold rolled sheet, steel, at plant",c378e883-97fc-3714-b923-d7271b8fcbac,RNA,North America,LCI_RESULT,"
Important note: although most of the data in the US LCI database has 
undergone some sort of review, the database as a whole has not yet 
undergone a formal validation process.
Please email comments to lci@nrel.gov.",1,kg,2.621799207,0.010040943,-0.008463156,6.89E-09,0.093014746,2.58023153,0.0014487,3.73E-06,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,"steel, (astm a285)",#N/A,#N/A,#N/A,#N/A,GDMKZUSIIJDKGW-UHFFFAOYSA-N,Inorganic compounds,Homogeneous metal compounds,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
"22: Utilities/2213: Water, Sewage and Other Systems",22: Utilities,"2213: Water, Sewage and Other Systems","Combustion, dry wood residue, AP-42",6c96a609-cd7e-3f19-a151-27deb823d3e4,RNA,North America,LCI_RESULT,,1,MJ,0.001732541,0.000165272,9.32E-06,0,0.005259766,0,9.02E-06,5.58E-06,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0.001732541,0.000165272,9.32E-06,0,0.005259766,0,9.02E-06,5.58E-06,1,MJ,,,,,,,,,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
"22: Utilities/2213: Water, Sewage and Other Systems",22: Utilities,"2213: Water, Sewage and Other Systems","Combustion, wet wood residue, AP-42",5198d618-7bc8-3639-b4a1-de71d6d5f49a,RNA,North America,UNIT_PROCESS,"From EPA AP-42 document for External Combustion Sources: Wood Residue Combusition. http://www.epa.gov/ttn/chief/ap42/ch01/final/c01s06.pdf. Accessed May 2008. 
 
Use background spreadsheet to pick ""fluidized bed"" as firing configuration, where available. 
",1,MJ,0.001732541,6.30E-05,3.04E-06,0,0.001735008,0,9.02E-06,5.58E-06,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0.001732541,6.30E-05,3.04E-06,0,0.001735008,0,9.02E-06,5.58E-06,1,MJ,,,,,,,,,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
31-33: Manufacturing/3261: Plastics Product Manufacturing,31-33: Manufacturing,3261: Plastics Product Manufacturing,"Compression molding, rigid composites part, at plant",ab334aaf-bfe1-3785-91c5-3de1dc34c01b,US,United States,UNIT_PROCESS,"For each kilogram of composite part fabrication, the amount of incoming corrugated box material is equivalent to that coming out of the process as it is purchased to be used as shipping packaging. An average of 0.0014 kg of rigid composite part scrap is produced for every kilogram of compression molded parts produced; this scrap is sold for recycling. The packaging inputs in this data set represent the average reported per kilogram of output across a range of products produced at manufacturing facilities. Because the solid wastes shown are of unknown types, these could include food wastes, office wastes, or packaging wastes from incoming tools/materials. The data providers could not expound on the source of these solid wastes. The difference in the mass balance likely lays here. Complete inventory data and metadata are shown in full in the final report, Life Cycle Inventory of Polymer Composites. The report is not publicly available. This report has been extensively reviewed within Franklin Associates by Rebe Feraldi, Anne Marie Molen, and Melissa Huff and has undergone partial critical review by ACMA members. Important note: although most of the data in the US LCI database has undergone some sort of review, the database as a whole has not yet undergone a formal validation process.  Please email comments to lci@nrel.gov.",1,kg,7.781972965,0.011371602,0.004220454,3.59E-08,0.359379094,7.549599952,0.004862967,0.000361375,0.919799025,0.001988576,0.000105329,1.37E-08,0.042296881,0.870433668,0.0016486,1.10E-05,5.724,MJ,5.863144645,0.006732088,0.0028772,1.13E-08,0.241487115,5.744246494,0.001173484,0.000324418,70.92288994,MJ,0,0,0,0,0,0,0,0,0,MJ,,,,,,,,,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
Asphalt Mixture_Parameterized/EPD Based System Processes,Asphalt Mixture_Parameterized,EPD Based System Processes,Concrete Reinforcing Steel; Commercial Metals Company,e4fd43e6-d9d8-45ed-bf16-dfe43c8e6663,,,LCI_RESULT,"Data retrieved from:
Commercial Metals Company (2016). Environmental Product Declaration for Concrete Reinforcing Steel
Link: https://cmcproduction.blob.core.windows.net/media/cmcmetals/media/pdf/environmental%20commitment/cmc-epd-knoxville-production-and-fabrication.pdf
",1,kg,0.000729004,2.78E-06,2.16E-08,7.83E-13,3.48E-05,0.000729,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,"steel, (astm a285)",#N/A,#N/A,#N/A,#N/A,GDMKZUSIIJDKGW-UHFFFAOYSA-N,Inorganic compounds,Homogeneous metal compounds,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
"31-33: Manufacturing/3212: Veneer, Plywood, and Engineered Wood Product Manufacturing",31-33: Manufacturing,"3212: Veneer, Plywood, and Engineered Wood Product Manufacturing","Conditioned log, hardwood, green, at veneer mill, E",eef00fd7-dbc0-3f3e-b012-56731b6b2e91,US,United States,UNIT_PROCESS,"All weights given on an ovendry basis. All moisture contents are on an ovendry basis.  MC% =(weight of water in wood / weight of oven dry wood) *100. Reference to specific gravities use oven dry mass and volumes at specified moisture contents.  Reference to densities use mass and volume at specified moistrue contents.

Important note: although most of the data in the US LCI database has 
undergone some sort of review, the database as a whole has not yet 
undergone a formal validation process.
Please email comments to lci@nrel.gov.",1,m3,90.79203044,0.692063519,0.094415899,9.17E-06,23.06568413,88.55556011,0.062393024,0.001732243,6.275425209,0.013567271,0.000718619,9.35E-08,0.288574899,5.93862489,0.011247747,7.51E-05,39.05258965,MJ,0.579064614,0.006436105,0.000653224,1.17E-09,0.22613873,0.572685802,0.000107155,1.27E-05,6.767880387,MJ,0,0,0,0,0,0,0,0,0,MJ,,,,,,,,,,,,,,TRUE,Wood,49.60%,TRUE,510.1626,253.1936984,927.815,-8.37E+02,Gaussian,FALSE,FALSE,N/A,N/A
"31-33: Manufacturing/3212: Veneer, Plywood, and Engineered Wood Product Manufacturing",31-33: Manufacturing,"3212: Veneer, Plywood, and Engineered Wood Product Manufacturing","Conditioned log; softwood, at plywood mill; PNW",909abfa2-ee7d-375f-9955-f55f7c523e40,US,United States,UNIT_PROCESS,"This unit process represents the production of 1 kg conditioned log at plywood mill that begins with logs debarked and ends with a conditioned log.  Fuels, electricity and transportation included. The process technologies are an aggregation of those applied in US Pacific North West (PNW) in 2012.",1,kg,0.099015338,0.000563734,5.90E-05,7.31E-10,0.018980866,0.093036311,0.000198961,2.94E-06,0.018993084,3.40E-05,1.97E-06,3.18E-10,0.000822401,0.018238943,2.45E-05,2.46E-07,0.157489682,MJ,0.003500255,4.20E-06,1.33E-06,5.00E-12,0.000145602,0.003367549,3.27E-06,1.56E-07,0.045942052,MJ,0.00530752,2.53E-05,2.48E-06,5.13E-11,0.000823554,0.004980779,1.00E-05,2.17E-07,0.713040251,MJ,,,,,,,,,,,,,,TRUE,Wood,49.60%,FALSE,N/A,0.4963,1.819,-1.72E+00,Gaussian,FALSE,FALSE,N/A,N/A
"31-33: Manufacturing/3212: Veneer, Plywood, and Engineered Wood Product Manufacturing",31-33: Manufacturing,"3212: Veneer, Plywood, and Engineered Wood Product Manufacturing","Conditioned log; softwood, at plywood mill; SE",ec9d42a8-ac9f-37c0-892d-7aa4d1e362b0,US,United States,UNIT_PROCESS,"This unit process represents the production of 1 kg conditioned log at plywood mill that begins with logs debarked and ends with a conditioned log.  Fuels, electricity and transportation included. The process technologies are an aggregation of those applied in US South East (SE) in 2012.",1,kg,0.10283187,0.000465098,8.50E-05,5.88E-10,0.015031224,0.09770871,0.000123755,6.21E-06,0.022091348,4.09E-05,2.38E-06,2.56E-10,0.000933543,0.021020533,3.56E-05,2.48E-07,0.137635708,MJ,0.015004042,2.00E-05,1.72E-06,3.65E-12,0.000640508,0.013807271,4.01E-05,2.80E-07,0.233571066,MJ,0.007210062,2.42E-05,3.64E-06,4.84E-11,0.000750362,0.006777985,1.22E-05,3.46E-07,0.701610253,MJ,,,,,,,,,,,,,,TRUE,Wood,49.60%,FALSE,N/A,0.4963,1.819,-1.72E+00,Gaussian,FALSE,FALSE,N/A,N/A
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills",31-33: Manufacturing,"3221: Pulp, Paper, and Paperboard Mills","Containerboard, 100% recycled, at mill",12ba204b-7438-49df-abbb-b8cbe817927e,US,United States,UNIT_PROCESS,"Containerboard (linerboard and corrugating medium), average U.S. production, at mill. By-products were allocated 0% of the impacts to enable the user to choose and apply their own allocation method more easily.  All flows are production-weighted means. Data were developed for a full LCA that was critically reviewed by Lindita Bushi, Athena Institute. 

The unit process includes pulp production from wood and recovered paper, papermaking, and preparation for shipping to customers. Net purchased energy is included, but upstream flows associated with its generation are excluded. Flows associated with transportation of inputs from the technosphere are included.  Product transportation is excluded.",1,kg,0.645399046,0.001702543,0.000198458,8.90E-09,0.041421061,0.620801237,0.000773654,1.06E-05,0.309529939,0.000669194,3.54E-05,4.61E-09,0.014233708,0.292917554,0.000554785,3.70E-06,1.926235322,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,,,,,,,,,,,,,,TRUE,Cardboard,31.50%,FALSE,N/A,0.315,1.154,-5.09E-01,Gaussian,FALSE,FALSE,N/A,N/A
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills",31-33: Manufacturing,"3221: Pulp, Paper, and Paperboard Mills","Containerboard, average production, at mill",c245a252-0860-41d2-9789-802bab7984ab,US,United States,UNIT_PROCESS,"Containerboard (linerboard and corrugating medium), average U.S. production, at mill. By-products were allocated 0% of the impacts to enable the user to choose and apply their own allocation method more easily.  All flows are production-weighted means. Data were developed for a full LCA that was critically reviewed by Lindita Bushi, Athena Institute. 

The unit process includes pulp production from wood and recovered paper, papermaking, and preparation for shipping to customers. Net purchased energy is included, but upstream flows associated with its generation are excluded. Flows associated with transportation of inputs from the technosphere are included.  Product transportation is excluded.",1,kg,0.811741751,0.004641376,0.000712097,4.44E-08,0.083616473,0.764389245,0.001082333,6.39E-05,0.232331352,0.000502293,2.66E-05,3.46E-09,0.010683738,0.219862193,0.000416419,2.78E-06,1.445820902,MJ,0,0,0,0,0,0,0,0,0,MJ,0,3.37E-06,2.04E-07,0,0.000114147,0,0,0,0.133685693,MJ,,,,,,,,,,,,,,TRUE,Cardboard,31.50%,FALSE,N/A,0.315,1.154,-3.43E-01,Gaussian,FALSE,FALSE,N/A,N/A
