Category,Name,UUID,Location,Process Type,Description,Amount,Unit,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N2O [kg],electricity_GWP (AR5),electricity_AP,electricity_EP,electricity_ODP,electricity_POCP,electricity_CO2,electricity_CH4,electricity_N2O,electricity_qty,electricity_unit,nonrenewable fuel combustion_GWP (AR5),nonrenewable fuel combustion_AP,nonrenewable fuel combustion_EP,nonrenewable fuel combustion_ODP,nonrenewable fuel combustion_POCP,nonrenewable fuel combustion_CO2,nonrenewable fuel combustion_CH4,nonrenewable fuel combustion_N2O,nonrenewable fuel combustion_qty,nonrenewable fuel combustion_unit,renewable fuel combustion_GWP (AR5),renewable fuel combustion_AP,renewable fuel combustion_EP,renewable fuel combustion_ODP,renewable fuel combustion_POCP,renewable fuel combustion_CO2,renewable fuel combustion_CH4,renewable fuel combustion_N2O,renewable fuel combustion_qty,renewable fuel combustion_unit
22: Utilities/2212: Natural Gas Distribution,natural gas extraction and processing - Arkla,f7770c48-8c5e-31c5-8d0c-c1a216b65ffb,,LCI_RESULT,"The cradle-to-gate inventory for production of gas aggregated to basin. The NETL natural gas life cycle model includes parameters to generate inventories for natural gas extraction based on basin and geology which determines the gas extraction type (e.g., Appalachian Shale using hydraulic fracturing). 2016 natural gas production then informs the amount of each type of technology/region that form the mix in the regions. These can be further aggregated to a US average. More details are in the natural gas upstream report at the link below
https://www.netl.doe.gov/energy-analysis/details?id=3198 This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1.0,MJ,0.014246114687069487,8.862821628388241e-05,5.477154418957013e-06,0.0,0.0030093325661301124,0.009763421575119112,0.0001588711841666878,1.2943378812691647e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; generation mix - California Independent System Operator,a059f167-f083-3395-b469-d71ef5f784e9,,UNIT_PROCESS,Electricity generation mix in the California Independent System Operator region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.09946399686286105,0.00021233355058474632,1.604373405724205e-05,3.7610838166578565e-10,0.009078330945683505,0.08975057702536543,0.0003388300936718989,7.208133294699743e-07,0.09946399686286105,0.00021233355058474632,1.604373405724205e-05,3.7610838166578565e-10,0.009078330945683505,0.08975057702536543,0.0003388300936718989,7.208133294699743e-07,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity; at user; consumption mix - Arlington Valley, LLC - AVBA - BA",c8caa143-b258-3aa7-8c7e-4615424941eb,,UNIT_PROCESS,"Electricity distribution to end user in the Arlington Valley, LLC - AVBA region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1.0,MJ,0.16686477889441617,0.00025186785550439613,1.7507725987474964e-05,1.5637053488704048e-10,0.008877771898814436,0.14065087407082846,0.000930651914995743,5.168579543363157e-07,0.16686477889441617,0.00025186785550439613,1.7507725987474964e-05,1.5637053488704048e-10,0.008877771898814436,0.14065087407082846,0.000930651914995743,5.168579543363157e-07,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; generation mix - Ohio Valley Electric Corporation,a00ea62a-baec-367d-bcef-35ab852b8f66,,UNIT_PROCESS,Electricity generation mix in the Ohio Valley Electric Corporation region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.32501095590867785,0.0006337129578995836,2.5020676052784867e-05,6.735429834539221e-09,0.011515987559320385,0.29944216502207566,0.0008636389793943949,5.0172788870522395e-06,0.32501095590867785,0.0006337129578995836,2.5020676052784867e-05,6.735429834539221e-09,0.011515987559320385,0.29944216502207566,0.0008636389793943949,5.0172788870522395e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,a9420547-6281-38fe-bb48-a32546ed849f,,UNIT_PROCESS,Electricity consumption mix using power plants in the Tennessee Valley Authority region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.13887486712706434,0.00029456704883182403,1.3037912695672429e-05,2.119715458446145e-09,0.004789885990215943,0.1329032843282786,0.00019485381195128145,1.7389934699664886e-06,0.13887486712706434,0.00029456704883182403,1.3037912695672429e-05,2.119715458446145e-09,0.004789885990215943,0.1329032843282786,0.00019485381195128145,1.7389934699664886e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity; at grid; consumption mix - Public Utility District No. 2 of Grant County, Washington - BA",ff87ed0b-db00-312a-bca8-2b9f2d3b3456,,UNIT_PROCESS,"Electricity consumption mix using power plants in the Public Utility District No. 2 of Grant County, Washington region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1.0,MJ,0.0010231225551004784,2.646697737029842e-25,6.89542604547363e-27,0.0,6.291830650643393e-09,0.0010108709875710515,4.3755598319381617e-07,1.5568810217822602e-25,0.0010231225551004784,2.646697737029842e-25,6.89542604547363e-27,0.0,6.291830650643393e-09,0.0010108709875710515,4.3755598319381617e-07,1.5568810217822602e-25,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; generation mix - El Paso Electric Company,d4a6ced3-335c-3f08-a156-725e806334d8,,UNIT_PROCESS,Electricity generation mix in the El Paso Electric Company region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.18441772884311558,0.0003902027448140907,2.7429384082376602e-05,2.2702630431431752e-10,0.012750534559521883,0.1720903095853185,0.0004326136181252683,6.970173793547934e-07,0.18441772884311558,0.0003902027448140907,2.7429384082376602e-05,2.2702630431431752e-10,0.012750534559521883,0.1720903095853185,0.0004326136181252683,6.970173793547934e-07,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; consumption mix - El Paso Electric Company - BA,a2a22977-2b95-358b-90ca-ca7f1fbeb167,,UNIT_PROCESS,Electricity consumption mix using power plants in the El Paso Electric Company region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.20017500757280135,0.00038223526774601484,2.5554361381341487e-05,1.5008670105851835e-09,0.011788052160636931,0.18928784690966524,0.0003739399717090332,1.426238444997114e-06,0.20017500757280135,0.00038223526774601484,2.5554361381341487e-05,1.5008670105851835e-09,0.011788052160636931,0.18928784690966524,0.0003739399717090332,1.426238444997114e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; generation mix - Seattle City Light,bfb38097-2bcd-3b0b-8322-30c9c40b6600,,UNIT_PROCESS,Electricity generation mix in the Seattle City Light region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.0008414319616703053,9.788177153069593e-06,6.180108935855832e-07,0.0,0.00034702137723291286,0.0008363772762707341,1.7363809292814715e-07,7.276181040871748e-10,0.0008414319616703053,9.788177153069593e-06,6.180108935855832e-07,0.0,0.00034702137723291286,0.0008363772762707341,1.7363809292814715e-07,7.276181040871748e-10,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",ef86245c-837b-3555-b556-d1f5346f2f76,,UNIT_PROCESS,"Electricity consumption mix using power plants in the Southern Company Services, Inc. - Trans region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1.0,MJ,0.1670499490124108,0.00030244306819618856,1.8832577987863607e-05,1.8607406185856589e-09,0.0075267261638712986,0.15932707099862456,0.00025740543162533556,1.775965045900358e-06,0.1670499490124108,0.00030244306819618856,1.8832577987863607e-05,1.8607406185856589e-09,0.0075267261638712986,0.15932707099862456,0.00025740543162533556,1.775965045900358e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity; at grid; generation mix - Griffith Energy, LLC",efff7f7a-91cc-3714-ab36-77e9c7f4c761,,UNIT_PROCESS,"Electricity generation mix in the Griffith Energy, LLC region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1.0,MJ,0.16029376122782127,0.00024340894369696925,1.661275694126162e-05,1.2511888452175061e-10,0.008581506507392691,0.13502670966724192,0.0008971732451006188,4.952865561141813e-07,0.16029376122782127,0.00024340894369696925,1.661275694126162e-05,1.2511888452175061e-10,0.008581506507392691,0.13502670966724192,0.0008971732451006188,4.952865561141813e-07,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,petroleum extraction and processing - DFO PADD 2,bdad9c51-928c-3577-b823-2c81a667c4fb,,LCI_RESULT,"The cradle-to-gate inventory for production of refinery products (residual fuel oil or diesel fuel oil) for each U.S. Petroleum Administration for Defense District (PADD). The method for generating the inventory largely follows the method detailed in the journal article below, but in this case 2016 data was used for determining crude mixes new versions of the model were used. Additionally, OPGEE was used to provide only the amounts of various fuels used in the production of crude, and NETL unit processes were used for combustion of those fuels to provide a more complete inventory.
https://pubs.acs.org/doi/abs/10.1021/acs.est.6b02819
The model is constructed to provide the inventory for diesel fuel oil or residual fuel oil based on PADD. This inventory includes crude extraction (foreign and domestic), crude transportation, crude refining, and fuel transportation.  This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1.0,MJ,0.018209382272673765,1.7991291206555043e-05,1.0482366902337481e-06,2.0891216224977678e-11,0.0004844072889226167,0.014057213396692907,0.00014665022503213224,1.4689570949225e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,cab7d877-234b-3e69-8b8e-240cb7196021,,UNIT_PROCESS,Electricity consumption mix using power plants in the Western Area Power Administration - Rocky Mountain Region region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.2643980701007301,0.0003506231525334107,1.652621559313148e-05,4.26376935247246e-09,0.0072248231762082425,0.25823106056220796,0.00018154357785164625,3.945474726379449e-06,0.2643980701007301,0.0003506231525334107,1.652621559313148e-05,4.26376935247246e-09,0.0072248231762082425,0.25823106056220796,0.00018154357785164625,3.945474726379449e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,db982038-127d-3359-ac5b-f55f989ab875,,UNIT_PROCESS,Electricity consumption mix using power plants in the LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.2581505276066416,0.0003808599998225235,1.8597122198026215e-05,3.2135897981897965e-09,0.006827238965712535,0.24884229019514084,0.0002922810897077127,4.056690003031408e-06,0.2581505276066416,0.0003808599998225235,1.8597122198026215e-05,3.2135897981897965e-09,0.006827238965712535,0.24884229019514084,0.0002922810897077127,4.056690003031408e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; consumption mix - PacifiCorp West - BA,afd157a1-c37c-3f33-bd41-227114c381f8,,UNIT_PROCESS,Electricity consumption mix using power plants in the PacifiCorp West region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.05849570423733727,9.466620111951766e-05,7.898007187819241e-06,5.255668771560441e-10,0.002911295086787564,0.05455388328330775,0.00013428116360282165,6.439337271797879e-07,0.05849570423733727,9.466620111951766e-05,7.898007187819241e-06,5.255668771560441e-10,0.002911295086787564,0.05455388328330775,0.00013428116360282165,6.439337271797879e-07,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; generation mix - Tennessee Valley Authority,ee71aa8d-c4d2-35b3-b515-f4f7052a3a8b,,UNIT_PROCESS,Electricity generation mix in the Tennessee Valley Authority region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.13887486712706434,0.00029456704883182403,1.3037912695672429e-05,2.119715458446145e-09,0.004789885990215943,0.1329032843282786,0.00019485381195128145,1.7389934699664886e-06,0.13887486712706434,0.00029456704883182403,1.3037912695672429e-05,2.119715458446145e-09,0.004789885990215943,0.1329032843282786,0.00019485381195128145,1.7389934699664886e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA",f41111d1-1668-325a-abd2-a40af161e35d,,UNIT_PROCESS,"Electricity distribution to end user in the Duke Energy Florida, Inc. region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1.0,MJ,0.21005005404498,0.0003823731002266228,2.257837998606023e-05,1.8639113669385493e-09,0.009478543864299175,0.20043637986576923,0.0003216968219424151,2.1655274737086797e-06,0.21005005404498,0.0003823731002266228,2.257837998606023e-05,1.8639113669385493e-09,0.009478543864299175,0.20043637986576923,0.0003216968219424151,2.1655274737086797e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at user; consumption mix - Nevada Power Company - BA,f80d17d0-8756-3933-9b8f-67f55495b5db,,UNIT_PROCESS,Electricity distribution to end user in the Nevada Power Company region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.14972049663336573,0.0002670295384860325,1.710300952333142e-05,5.485359299877204e-10,0.011885854286562024,0.13669707612075876,0.00045708089697867933,7.708573583378511e-07,0.14972049663336573,0.0002670295384860325,1.710300952333142e-05,5.485359299877204e-10,0.011885854286562024,0.13669707612075876,0.00045708089697867933,7.708573583378511e-07,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,e4fcd21b-a651-31c8-a123-ff308a80e080,,UNIT_PROCESS,Electricity consumption mix using power plants in the Bonneville Power Administration region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.03262851946234272,7.402213714457275e-05,6.036368479088147e-06,6.66358934999044e-10,0.0018424032675775602,0.031078621183004022,5.1536920517575944e-05,3.463550957995158e-07,0.03262851946234272,7.402213714457275e-05,6.036368479088147e-06,6.66358934999044e-10,0.0018424032675775602,0.031078621183004022,5.1536920517575944e-05,3.463550957995158e-07,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; generation mix - Arizona Public Service Company,ee9eb53a-3a0f-31cb-b1f3-ab3588e72891,,UNIT_PROCESS,Electricity generation mix in the Arizona Public Service Company region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.2255778313326937,0.0005055228363285177,2.852766715796115e-05,3.307200667837212e-09,0.013769188409717015,0.21558030512840443,0.00032365149522290624,3.330738824195388e-06,0.2255778313326937,0.0005055228363285177,2.852766715796115e-05,3.307200667837212e-09,0.013769188409717015,0.21558030512840443,0.00032365149522290624,3.330738824195388e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
