Category,Name,UUID,Location,Process Type,Description,Amount,Unit,GWP [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N2O [kg],electricity_GWP,electricity_AP,electricity_EP,electricity_ODP,electricity_POCP,electricity_CO2,electricity_CH4,electricity_N2O,electricity_qty,electricity_unit,nonrenewable fuel combustion_GWP,nonrenewable fuel combustion_AP,nonrenewable fuel combustion_EP,nonrenewable fuel combustion_ODP,nonrenewable fuel combustion_POCP,nonrenewable fuel combustion_CO2,nonrenewable fuel combustion_CH4,nonrenewable fuel combustion_N2O,nonrenewable fuel combustion_qty,nonrenewable fuel combustion_unit,renewable fuel combustion_GWP,renewable fuel combustion_AP,renewable fuel combustion_EP,renewable fuel combustion_ODP,renewable fuel combustion_POCP,renewable fuel combustion_CO2,renewable fuel combustion_CH4,renewable fuel combustion_N2O,renewable fuel combustion_qty,renewable fuel combustion_unit
48-49: Transportation and Warehousing/4852: Interurban and Rural Bus Transportation,"Transport, intercity bus, diesel powered, Alaska",83fff53a-ffc2-3d4f-8141-69264f86b529,RNA,UNIT_PROCESS,"This dataset represents the Alaska average airborne emissions for operating a diesel powered intercity bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.049477326171841106,0.0005449676909860451,5.641697782994626e-05,1.082423335687957e-10,0.01902646619408391,0.04925894089271478,6.048260254758416e-06,1.8217924751967444e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
56: Administrative and Support and Waste Management and Remediation Services/5621: Waste Collection,"Transport, refuse truck, diesel powered, Hawaii",f7dbe13e-5a57-3360-812a-c99bd94e1e9b,RNA,UNIT_PROCESS,"This dataset represents the Hawaii average airborne emissions for operating a diesel powered refuse truck. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,t*km,0.1314374371273701,0.0010392478362002313,0.00012408129522030454,2.87801917051269e-10,0.03623475127828897,0.13085112689734688,1.6006859181510655e-05,5.136104274786369e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Asphalt Mixture_Parameterized/EPD Based System Processes,Portland Cement Concrete; Maschmeyer Concrete ,14134933-d5a9-496a-a64c-2246b7a2c79b,,LCI_RESULT,"Data retrieved from:
Athena Sustainable Materials Institute (2018). EPD for Concrete Produced at 3 Orlando Facilities.
National Ready Mix Concrete Association
Link:
https://www.nrmca.org/wp-content/uploads/2019/10/MaschmeyerNRMCAEPD10021_20180801.pdf
Using Mix: 50090451, page 15, Table 5b",1.0,m3,240.047979,1.18,0.045035431776616196,8.15e-06,23.17,240.01,0.0,0.0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Asphalt Mixture_Parameterized/EPD Based System Processes,Portland Cement Concrete; Advance Ready Mix,c148d086-5971-4bcc-9b46-5a516b89d2ac,,LCI_RESULT,"Data retrieved from:
Gloria, Thomas P,  Stough, Bill,  Overcash, Michael (2019). Environmental Product Declaration for Concrete.
BASF
Link: https://info.nsf.org/Certified/Sustain/ProdCert/EPD10410.pdf",1.0,m3,293.000062444,0.75,0.005374228192009532,1.34e-08,13.8,293.0,0.0,0.0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4851: Urban Transit Systems,"Transport, transit bus, diesel powered, South",dd07a541-0512-3a69-a831-bd6d341308fe,RNA,UNIT_PROCESS,"This dataset represents the Southern U.S. (AR, LA, KS, MS, OK, TX (Reference 10)) average airborne emissions for operating a diesel powered transit bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.1154209674682815,0.0011988111169899994,0.00012706055120186285,2.5268467258386736e-10,0.04188373786351046,0.11488547457923522,1.4345097509675487e-05,4.983553921079113e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4859: Other Transit and Ground Passenger Transportation,"Transport, passenger car, diesel powered",c01e63be-688d-36c6-ba41-07d900691186,RNA,UNIT_PROCESS,"This dataset represents the U.S. average airborne emissions for operating a diesel powered passenger car. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.20853795431172517,0.0007747051438050617,0.00014246320848883986,4.610322244024744e-10,0.026776121565149056,0.2074780894917704,2.998782714390744e-05,8.188059112609379e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Asphalt Mixture_Parameterized/EPD Based System Processes,Portland Cement Concrete; CalPortland,272e29e8-0848-4e1f-87bf-e14f6a6bb3a5,,LCI_RESULT,"Data retrieved from:
Athena Sustainable Materials Institute (2017). Environmental Product Declaration for Concrete produced at 12 CalPortland California Facilities.
National Ready Mix Concrete Association
Link: https://www.nrmca.org/wp-content/uploads/2019/10/CalPortland_EPD20171228.pdf

Mixture used: 675RN1010, 28 day strength of 5000 psi.
Found at: Table 28",1.0,m3,376.8703556,1.19,0.06304960448726267,8.66e-06,25.65,376.83,0.0,0.0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Asphalt Mixture_Parameterized/EPD Based System Processes,Fabricated Steel Reinforcement; CRSI,6af9defe-07a3-48e7-a0f8-04ad9c4500c8,,LCI_RESULT,"Data retrieved from:
Concrete Reinforcing Steel Institute (2017). Environmental Product Declaration for Fabricated Steel Reinforcement.
Link: https://www.crsi.org/cfcs/cmsIT/baseComponents/fileManagerProxy.cfc?method=GetFile&fileID=83406608-EB89-B478-754D2D0CDBC4D12A",1.0,kg,0.97900073162,0.00475,2.7921967701502042e-05,1.57e-10,0.0591,0.979,0.0,0.0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Asphalt Mixture_Parameterized/Asphalt Mixtures - Deprecated,"Asphalt virgin mix, 5% binder, using GRT - variable x% ",87d53b91-e619-4676-b480-945e5f08699b,,UNIT_PROCESS,This asphalt mixture process consists of all the recent databases imported from LCA + AI GRT binder - variable.,1.0,kg,0.05495007627855673,0.0001452821226882747,6.020246406984739e-06,5.159570490757657e-11,0.003505561620090162,0.05347080468276025,4.7869875985959096e-05,5.208061728700878e-07,0.0013832081228715282,2.836403188121706e-06,2.44837590212288e-07,2.5840403423564813e-11,6.512225994921507e-05,0.0012894562485610917,3.189706774106357e-06,1.4751161128944566e-08,0.011031989241385392,MJ,0.014926126913828842,2.574658178780615e-05,1.847017633179943e-06,2.6564219613638885e-12,0.0008412352119254863,0.013700587488098355,4.145258079507232e-05,2.4465220600175555e-07,0.23450780749134684,MJ,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4859: Other Transit and Ground Passenger Transportation,"Transport, motor home, diesel powered",7687e959-9eed-3227-9fe9-29173b951f34,RNA,UNIT_PROCESS,"This dataset represents the U.S. average airborne emissions for operating a diesel powered motor home. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 5-7).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.6787539366562517,0.006987662251240619,0.0007464564488185412,1.5015291727350623e-09,0.24393386593047287,0.6757333158908563,8.32375776147268e-05,2.564055104649496e-06,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
56: Administrative and Support and Waste Management and Remediation Services/5621: Waste Collection,"Transport, refuse truck, diesel powered, Southwest",57daae53-7301-327d-9a32-b3b3ce19e04f,RNA,UNIT_PROCESS,"This dataset represents the Southwest U.S. (AZ, CO, NM, UT (Reference 10)) average airborne emissions for operating a diesel powered refuse truck. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,t*km,0.12849248665430046,0.0011585238620543778,0.00013032511829194073,2.8137147339118493e-10,0.040406194571147386,0.12792118669822944,1.5678399599419558e-05,4.918426383064404e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Asphalt Mixture_Parameterized/EPD Based System Processes,WCS Sand; Polaris Materials,3ce42614-4e2e-4e0b-a467-528dcd5b027f,,LCI_RESULT,"Data retrieved from:
Polaris Materials Corporation (2017). Environmental Product Declaration for Concrete Aggregate Products.
Link: https://www.astm.org/CERTIFICATION/DOCS/344.EPD_Polaris_Materials_final.pdf",1.0,kg,0.001650352296,2e-05,5.404251813193943e-07,7.56e-11,0.0005200000000000001,0.00165,0.0,0.0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4852: Interurban and Rural Bus Transportation,"Transport, intercity bus, diesel powered",2087543e-37d4-3a37-b351-e134cbe3e538,RNA,UNIT_PROCESS,"This dataset represents the U.S. average airborne emissions for operating a diesel powered intercity bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.05040504790436306,0.0005189118346015101,5.543271431554771e-05,1.1150528312860376e-10,0.01811480940838933,0.05018073313260539,6.181318237036285e-06,1.9040968073933633e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4854: School and Employee Bus Transportation,"Transport, school bus, diesel powered, Northwest",465aca90-3640-3851-a864-01b1c1b247d0,RNA,UNIT_PROCESS,"This dataset represents the Northwestern U.S. (ID, OR, WA (Reference 10)) average airborne emissions for operating a diesel powered school bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.014081591970932877,0.00014269894628551625,1.5267778421691175e-05,3.078595148515711e-11,0.004992264921573782,0.01399801287953037,2.1408296023558787e-06,8.838001350918193e-08,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4854: School and Employee Bus Transportation,"Transport, school bus, diesel powered, South",19cb866e-1cfc-3007-b64e-5c5c75492cff,RNA,UNIT_PROCESS,"This dataset represents the Southern U.S. (AR, LA, KS, MS, OK, TX (Reference 10)) average airborne emissions for operating a diesel powered school bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.014412687246081982,0.0001296376454398721,1.4591184189989356e-05,3.1524613233817695e-11,0.004532572884583827,0.014332947625259046,1.994134386566789e-06,8.937183635045906e-08,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Asphalt Mixture_Parameterized/Other Processes,RAS ,0f5c2477-0e6d-429f-8986-8463a990190e,,UNIT_PROCESS,,1.0,kg,0.0036228730558116,4.16553693673901e-05,4.166859760854304e-06,7.258901894808678e-12,0.0014618537315308417,0.0035882579906545316,4.88360838480427e-07,7.885375892841355e-08,0,0,0,0,0,0,0,0,0,N/A,0.0036228730558116036,4.1655369367390095e-05,4.166859760854306e-06,7.258901894808682e-12,0.0014618537315308445,0.0035882579906545355,4.883608384804258e-07,7.885375892841359e-08,0.041221056901607184,MJ,0,0,0,0,0,0,0,0,0,MJ
