USZIP,County,City,State,State_Code
2726,Bristol,Somerset,Massachusetts,MA
8873,Somerset,Somerset,New jersey,NJ
15501,Somerset,Somerset,Pennsylvania,PA
22972,Orange,Somerset,Virginia,VA
43783,Perry,Somerset,Ohio,OH
49281,Hillsdale,Somerset,Michigan,MI
54025,St. Croix,Somerset,Wisconsin,WI
78069,Atascosa,Somerset,Texas,TX
81434,Gunnison,Somerset,Colorado,CO
95684,El Dorado,Somerset,California,CA
8244,Atlantic,Somers point,New jersey,NJ
6071,Tolland,Somers,Connecticut,CT
10589,Westchester,Somers,New york,NY
50586,Calhoun,Somers,Iowa,IA
59932,Flathead,Somers,Montana,MT
8083,Camden,Somerdale,New jersey,NJ
44678,Tuscarawas,Somerdale,Ohio,OH
56678,Beltrami,Solway,Minnesota,MN
13209,Onondaga,Solvay,New york,NY
47459,Greene,Solsberry,Indiana,IN
4979,Somerset,Solon,Maine,ME
44139,Cuyahoga,Solon,Ohio,OH
52333,Johnson,Solon,Iowa,IA
20688,Calvert,Solomons,Maryland,MD
67480,Dickinson,Solomon,Kansas,KS
65564,Texas,Solo,Missouri,MO
72156,Conway,Solgohachia,Arkansas,AR
93960,Monterey,Soledad,California,CA
99669,Kenai Peninsula Borough,Soldotna,Alaska,AK
54655,Crawford,Soldiers grove,Wisconsin,WI
4781,Aroostook,Soldier pond,Maine,ME
51572,Monona,Soldier,Iowa,IA
66540,Jackson,Soldier,Kansas,KS
92075,San Diego,Solana beach,California,CA
41831,Knott,Soft shell,Kentucky,KY
14555,Wayne,Sodus point,New york,NY
14551,Wayne,Sodus,New york,NY
49126,Berrien,Sodus,Michigan,MI
37379,Hamilton,Soddy daisy,Tennessee,TN
83276,Caribou,Soda springs,Idaho,ID
95728,Placer,Soda springs,California,CA
25564,Lincoln,Sod,West virginia,WV
87801,Socorro,Socorro,New mexico,NM
29593,Darlington,Society hill,South carolina,SC
54171,Oconto,Sobieski,Wisconsin,WI
98851,Grant,Soap lake,Washington,WA
68664,Dodge,Snyder,Nebraska,NE
73566,Kiowa,Snyder,Oklahoma,OK
80750,Morgan,Snyder,Colorado,CO
84336,Box Elder,Snowville,Utah,UT
26209,Pocahontas,Snowshoe,West virginia,WV
81615,Pitkin,Snowmass village,Colorado,CO
81654,Pitkin,Snowmass,Colorado,CO
85937,Navajo,Snowflake,Arizona,AZ
16874,Centre,Snow shoe,Pennsylvania,PA
72379,Desha,Snow lake,Arkansas,AR
21863,Worcester,Snow hill,Maryland,MD
28580,Greene,Snow hill,North carolina,NC
27349,Alamance,Snow camp,North carolina,NC
74567,Pushmataha,Snow,Oklahoma,OK
48472,Sanilac,Snover,Michigan,MI
98068,Kittitas,Snoqualmie pass,Washington,WA
98065,King,Snoqualmie,Washington,WA
77878,Burleson,Snook,Texas,TX
98290,Snohomish,Snohomish,Washington,WA
95369,Merced,Snelling,California,CA
22553,Spotsylvania,Snell,Virginia,VA
37869,Hancock,Sneedville,Tennessee,TN
28460,Onslow,Sneads ferry,North carolina,NC
32460,Jackson,Sneads,Florida,FL
35952,Etowah,Snead,Alabama,AL
4780,Aroostook,Smyrna mills,Maine,ME
13464,Chenango,Smyrna,New york,NY
19977,Kent,Smyrna,Delaware,DE
28579,Carteret,Smyrna,North carolina,NC
29743,York,Smyrna,South carolina,SC
30080,Cobb,Smyrna,Georgia,GA
30082,Cobb,Smyrna,Georgia,GA
37167,Rutherford,Smyrna,Tennessee,TN
79367,Hockley,Smyer,Texas,TX
5464,Lamoille,Smugglers notch,Vermont,VT
24977,Greenbrier,Smoot,West virginia,WV
83126,Lincoln,Smoot,Wyoming,WY
17576,Lancaster,Smoketown,Pennsylvania,PA
16681,Clearfield,Smokerun,Pennsylvania,PA
15480,Fayette,Smock,Pennsylvania,PA
29481,Colleton,Smoaks,South carolina,SC
13841,Chenango,Smithville flats,New york,NY
8201,Atlantic,Smithville,New jersey,NJ
13605,Jefferson,Smithville,New york,NY
26178,Ritchie,Smithville,West virginia,WV
31787,Lee,Smithville,Georgia,GA
37166,DeKalb,Smithville,Tennessee,TN
38870,Monroe,Smithville,Mississippi,MS
44677,Wayne,Smithville,Ohio,OH
64089,Clay,Smithville,Missouri,MO
72466,Lawrence,Smithville,Arkansas,AR
78957,Bastrop,Smithville,Texas,TX
11787,Suffolk,Smithtown,New york,NY
62285,St. Clair,Smithton,Illinois,IL
65350,Pettis,Smithton,Missouri,MO
61478,Warren,Smithshire,Illinois,IL
21783,Washington,Smithsburg,Maryland,MD
42171,Warren,Smiths grove,Kentucky,KY
36877,Lee,Smiths,Alabama,AL
16680,Clearfield,Smithmill,Pennsylvania,PA
51056,Woodbury,Smithland,Iowa,IA
75657,Marion,Smithland,Texas,TX
2917,Providence,Smithfield,Rhode island,RI
4978,Somerset,Smithfield,Maine,ME
15478,Fayette,Smithfield,Pennsylvania,PA
23430,Isle of Wight,Smithfield,Virginia,VA
26437,Wetzel,Smithfield,West virginia,WV
27577,Johnston,Smithfield,North carolina,NC
40068,Henry,Smithfield,Kentucky,KY
43948,Jefferson,Smithfield,Ohio,OH
61477,Fulton,Smithfield,Illinois,IL
68976,Gosper,Smithfield,Nebraska,NE
84335,Cache,Smithfield,Utah,UT
39664,Amite,Smithdale,Mississippi,MS
26436,Doddridge,Smithburg,West virginia,WV
62284,Bond,Smithboro,Illinois,IL
95567,Del Norte,Smith river,California,CA
42457,Henderson,Smith mills,Kentucky,KY
66967,Smith,Smith center,Kansas,KS
40867,Harlan,Smith,Kentucky,KY
89430,Lyon,Smith,Nevada,NV
78159,Gonzales,Smiley,Texas,TX
41764,Leslie,Smilax,Kentucky,KY
16256,Indiana,Smicksburg,Pennsylvania,PA
16749,Mc Kean,Smethport,Pennsylvania,PA
83868,Shoshone,Smelterville,Idaho,ID
95977,Nevada,Smartville,California,CA
12778,Sullivan,Smallwood,New york,NY
71762,Union,Smackover,Arkansas,AR
15078,Washington,Slovan,Pennsylvania,PA
75839,Anderson,Slocum,Texas,TX
36375,Geneva,Slocomb,Alabama,AL
12160,Schoharie,Sloansville,New york,NY
42519,Pulaski,Sloans valley,Kentucky,KY
51055,Woodbury,Sloan,Iowa,IA
16057,Butler,Slippery rock,Pennsylvania,PA
12159,Albany,Slingerlands,New york,NY
53086,Washington,Slinger,Wisconsin,WI
16255,Clarion,Sligo,Pennsylvania,PA
70458,St. Tammany Parish,Slidell,Louisiana,LA
70460,St. Tammany Parish,Slidell,Louisiana,LA
70461,St. Tammany Parish,Slidell,Louisiana,LA
15684,Westmoreland,Slickville,Pennsylvania,PA
74071,Creek,Slick,Oklahoma,OK
41763,Perry,Slemp,Kentucky,KY
99668,Bethel Census Area,Sleetmute,Alaska,AK
56085,Brown,Sleepy eye,Minnesota,MN
38670,Quitman,Sledge,Mississippi,MS
56172,Murray,Slayton,Minnesota,MN
42456,Webster,Slaughters,Kentucky,KY
70777,East Feliciana Parish,Slaughter,Louisiana,LA
26291,Pocahontas,Slatyfork,West virginia,WV
14881,Tompkins,Slaterville spri,New york,NY
29683,Greenville,Slater,South carolina,SC
50244,Story,Slater,Iowa,IA
65349,Saline,Slater,Missouri,MO
81653,Routt,Slater,Colorado,CO
18079,Lehigh,Slatedale,Pennsylvania,PA
10973,Orange,Slate hill,New york,NY
25444,Hampshire,Slanesville,West virginia,WV
99586,Valdez-Cordova Census Area,Slana,Alaska,AK
40376,Powell,Slade,Kentucky,KY
25920,Raleigh,Slab fork,West virginia,WV
18357,Monroe,Skytop,Pennsylvania,PA
41821,Letcher,Skyline,Kentucky,KY
98288,King,Skykomish,Washington,WA
30537,Rabun,Sky valley,Georgia,GA
57724,Harding,Sky ranch,South dakota,SD
99667,Matanuska-Susitna Borough,Skwentna,Alaska,AK
86338,Yavapai,Skull valley,Arizona,AZ
4976,Somerset,Skowhegan,Maine,ME
60076,Cook,Skokie,Illinois,IL
60077,Cook,Skokie,Illinois,IL
23968,Mecklenburg,Skipwith,Virginia,VA
36374,Dale,Skipperville,Alabama,AL
23879,Greensville,Skippers,Virginia,VA
19474,Montgomery,Skippack,Pennsylvania,PA
8558,Somerset,Skillman,New jersey,NJ
64487,Nodaway,Skidmore,Missouri,MO
78389,Bee,Skidmore,Texas,TX
74070,Osage,Skiatook,Oklahoma,OK
79080,Carson,Skellytown,Texas,TX
49962,Baraga,Skanee,Michigan,MI
13152,Onondaga,Skaneateles,New york,NY
49885,Marquette,Skandia,Michigan,MI
98647,Wahkiakum,Skamokawa,Washington,WA
99840,Skagway-Hoonah-Angoon Census Area,Skagway,Alaska,AK
41762,Leslie,Sizerock,Kentucky,KY
97476,Curry,Sixes,Oregon,OR
16679,Bedford,Six mile run,Pennsylvania,PA
29682,Pickens,Six mile,South carolina,SC
48886,Montcalm,Six lakes,Michigan,MI
41255,Johnson,Sitka,Kentucky,KY
99835,Sitka Borough,Sitka,Alaska,AK
26175,Tyler,Sistersville,West virginia,WV
78006,Kendall,Sisterdale,Texas,TX
54234,Door,Sister bay,Wisconsin,WI
25320,Kanawha,Sissonville,West virginia,WV
54872,Burnett,Siren,Wisconsin,WI
35584,Walker,Sipsey,Alabama,AL
50585,Buena Vista,Sioux rapids,Iowa,IA
57103,Minnehaha,Sioux falls,South dakota,SD
57104,Minnehaha,Sioux falls,South dakota,SD
57105,Minnehaha,Sioux falls,South dakota,SD
57106,Minnehaha,Sioux falls,South dakota,SD
57107,Minnehaha,Sioux falls,South dakota,SD
51101,Woodbury,Sioux city,Iowa,IA
51103,Woodbury,Sioux city,Iowa,IA
51104,Woodbury,Sioux city,Iowa,IA
51105,Woodbury,Sioux city,Iowa,IA
51106,Woodbury,Sioux city,Iowa,IA
51108,Woodbury,Sioux city,Iowa,IA
51109,Woodbury,Sioux city,Iowa,IA
51111,Woodbury,Sioux city,Iowa,IA
51250,Sioux,Sioux center,Iowa,IA
78387,San Patricio,Sinton,Texas,TX
15861,Cameron,Sinnamahoning,Pennsylvania,PA
19608,Berks,Sinking spring,Pennsylvania,PA
45172,Highland,Sinking spring,Ohio,OH
77831,Grimes,Singleton,Texas,TX
22850,Rockingham,Singers glen,Virginia,VA
70660,Beauregard Parish,Singer,Louisiana,LA
14782,Chautauqua,Sinclairville,New york,NY
4779,Aroostook,Sinclair,Maine,ME
57061,Brookings,Sinai,South dakota,SD
6070,Hartford,Simsbury,Connecticut,CT
71275,Lincoln Parish,Simsboro,Louisiana,LA
27880,Wilson,Sims,North carolina,NC
62886,Wayne,Sims,Illinois,IL
71969,Montgomery,Sims,Arkansas,AR
29681,Greenville,Simpsonville,South carolina,SC
40067,Shelby,Simpsonville,Kentucky,KY
24072,Floyd,Simpsons,Virginia,VA
18407,Lackawanna,Simpson,Pennsylvania,PA
26435,Taylor,Simpson,West virginia,WV
67478,Mitchell,Simpson,Kansas,KS
77476,Fort Bend,Simonton,Texas,TX
24882,Wyoming,Simon,West virginia,WV
59477,Cascade,Simms,Montana,MT
75574,Bowie,Simms,Texas,TX
71369,Avoyelles Parish,Simmesport,Louisiana,LA
80835,Elbert,Simla,Colorado,CO
93065,Ventura,Simi valley,California,CA
61282,Rock Island,Silvis,Illinois,IL
48760,Tuscola,Silverwood,Michigan,MI
79257,Briscoe,Silverton,Texas,TX
81433,San Juan,Silverton,Colorado,CO
83867,Shoshone,Silverton,Idaho,ID
97381,Marion,Silverton,Oregon,OR
80498,Summit,Silverthorne,Colorado,CO
29145,Newberry,Silverstreet,South carolina,SC
89047,Esmeralda,Silverpeak,Nevada,NV
98645,Cowlitz,Silverlake,Washington,WA
36576,Baldwin,Silverhill,Alabama,AL
18962,Bucks,Silverdale,Pennsylvania,PA
98315,Kitsap,Silverdale,Washington,WA
98383,Kitsap,Silverdale,Washington,WA
92676,Orange,Silverado,California,CA
59751,Madison,Silver star,Montana,MT
34488,Marion,Silver springs,Florida,FL
89429,Lyon,Silver springs,Nevada,NV
20901,Montgomery,Silver spring,Maryland,MD
20903,Montgomery,Silver spring,Maryland,MD
20910,Montgomery,Silver spring,Maryland,MD
38582,Putnam,Silver point,Tennessee,TN
80476,Clear Creek,Silver plume,Colorado,CO
3875,Carroll,Silver lake,New hampshire,NH
46982,Kosciusko,Silver lake,Indiana,IN
53170,Kenosha,Silver lake,Wisconsin,WI
55381,McLeod,Silver lake,Minnesota,MN
66539,Shawnee,Silver lake,Kansas,KS
97638,Lake,Silver lake,Oregon,OR
41085,Campbell,Silver grove,Kentucky,KY
59081,Park,Silver gate,Montana,MT
14136,Chautauqua,Silver creek,New york,NY
30173,Floyd,Silver creek,Georgia,GA
39663,Lawrence,Silver creek,Mississippi,MS
68663,Merrick,Silver creek,Nebraska,NE
98585,Lewis,Silver creek,Washington,WA
39166,Humphreys,Silver city,Mississippi,MS
51571,Mills,Silver city,Iowa,IA
57702,Pennington,Silver city,South dakota,SD
88061,Grant,Silver city,New mexico,NM
89428,Lyon,Silver city,Nevada,NV
12874,Warren,Silver bay,New york,NY
76949,Coke,Silver,Texas,TX
63964,Wayne,Silva,Missouri,MO
81652,Garfield,Silt,Colorado,CO
77656,Hardin,Silsbee,Texas,TX
72761,Benton,Siloam springs,Arkansas,AR
27047,Surry,Siloam,North carolina,NC
30665,Greene,Siloam,Georgia,GA
63377,Lincoln,Silex,Missouri,MO
97380,Lincoln,Siletz,Oregon,OR
59041,Carbon,Silesia,Montana,MT
27344,Chatham,Siler city,North carolina,NC
40763,Whitley,Siler,Kentucky,KY
36919,Choctaw,Silas,Alabama,AL
63801,Scott,Sikeston,Missouri,MO
71473,Winn Parish,Sikes,Louisiana,LA
84657,Sevier,Sigurd,Utah,UT
52591,Keokuk,Sigourney,Iowa,IA
37377,Hamilton,Signal mountain,Tennessee,TN
90804,Los Angeles,Signal hill,California,CA
90806,Los Angeles,Signal hill,California,CA
90807,Los Angeles,Signal hill,California,CA
15860,Jefferson,Sigel,Pennsylvania,PA
62462,Shelby,Sigel,Illinois,IL
96126,Sierra,Sierraville,California,CA
85635,Cochise,Sierra vista,Arizona,AZ
91024,Los Angeles,Sierra madre,California,CA
96125,Sierra,Sierra city,California,CA
79851,Hudspeth,Sierra blanca,Texas,TX
71472,Rapides Parish,Sieper,Louisiana,LA
38954,Leflore,Sidon,Mississippi,MS
13839,Delaware,Sidney center,New york,NY
13838,Delaware,Sidney,New york,NY
41564,Pike,Sidney,Kentucky,KY
45365,Shelby,Sidney,Ohio,OH
46566,Kosciusko,Sidney,Indiana,IN
48885,Montcalm,Sidney,Michigan,MI
51652,Fremont,Sidney,Iowa,IA
59270,Richland,Sidney,Montana,MT
61877,Champaign,Sidney,Illinois,IL
69162,Cheyenne,Sidney,Nebraska,NE
72577,Sharp,Sidney,Arkansas,AR
76474,Comanche,Sidney,Texas,TX
49961,Houghton,Sidnaw,Michigan,MI
15955,Cambria,Sidman,Pennsylvania,PA
61876,Vermilion,Sidell,Illinois,IL
55781,St. Louis,Side lake,Minnesota,MN
8081,Camden,Sicklerville,New jersey,NJ
71368,Catahoula Parish,Sicily island,Louisiana,LA
62558,Sangamon,Sicily,Illinois,IL
51249,Osceola,Sibley,Iowa,IA
58429,Barnes,Sibley,North dakota,ND
61773,Ford,Sibley,Illinois,IL
64088,Jackson,Sibley,Missouri,MO
71073,Webster Parish,Sibley,Louisiana,LA
47515,Perry,Siberia,Indiana,IN
1072,Franklin,Shutesbury,Massachusetts,MA
12873,Washington,Shushan,New york,NY
39361,Noxubee,Shuqualak,Mississippi,MS
17768,Sullivan,Shunk,Pennsylvania,PA
99773,Northwest Arctic Borough,Shungnak,Alaska,AK
62461,Effingham,Shumway,Illinois,IL
53586,Lafayette,Shullsburg,Wisconsin,WI
29453,Berkeley,Shulerville,South carolina,SC
68437,Richardson,Shubert,Nebraska,NE
10588,Westchester,Shrub oak,New york,NY
1545,Worcester,Shrewsbury,Massachusetts,MA
7702,Monmouth,Shrewsbury,New jersey,NJ
17361,York,Shrewsbury,Pennsylvania,PA
71101,Caddo Parish,Shreveport,Louisiana,LA
71103,Caddo Parish,Shreveport,Louisiana,LA
71104,Caddo Parish,Shreveport,Louisiana,LA
71105,Caddo Parish,Shreveport,Louisiana,LA
71108,Caddo Parish,Shreveport,Louisiana,LA
71109,Caddo Parish,Shreveport,Louisiana,LA
71118,Caddo Parish,Shreveport,Louisiana,LA
71119,Caddo Parish,Shreveport,Louisiana,LA
71129,Caddo Parish,Shreveport,Louisiana,LA
44676,Wayne,Shreve,Ohio,OH
21862,Worcester,Showell,Maryland,MD
85901,Navajo,Show low,Arizona,AZ
83469,Lemhi,Shoup,Idaho,ID
82649,Fremont,Shoshoni,Wyoming,WY
83352,Lincoln,Shoshone,Idaho,ID
92384,Inyo,Shoshone,California,CA
14548,Ontario,Shortsville,New york,NY
36373,Henry,Shorterville,Alabama,AL
36075,Macon,Shorter,Alabama,AL
7078,Essex,Short hills,New jersey,NJ
53211,Milwaukee,Shorewood,Wisconsin,WI
60435,Will,Shorewood,Illinois,IL
55126,Ramsey,Shoreview,Minnesota,MN
