Category,Name,UUID,Location,Process Type,Description,Amount,Unit,GWP [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],NREF [MJ],CO2 [kg],CH4 [kg],N2O [kg],electricity_GWP,electricity_AP,electricity_EP,electricity_ODP,electricity_POCP,electricity_NREF,electricity_CO2,electricity_CH4,electricity_N2O,electricity_qty,electricity_unit,nonrenewable fuel combustion_GWP,nonrenewable fuel combustion_AP,nonrenewable fuel combustion_EP,nonrenewable fuel combustion_ODP,nonrenewable fuel combustion_POCP,nonrenewable fuel combustion_NREF,nonrenewable fuel combustion_CO2,nonrenewable fuel combustion_CH4,nonrenewable fuel combustion_N2O,nonrenewable fuel combustion_qty,nonrenewable fuel combustion_unit,renewable fuel combustion_GWP,renewable fuel combustion_AP,renewable fuel combustion_EP,renewable fuel combustion_ODP,renewable fuel combustion_POCP,renewable fuel combustion_NREF,renewable fuel combustion_CO2,renewable fuel combustion_CH4,renewable fuel combustion_N2O,renewable fuel combustion_qty,renewable fuel combustion_unit
56: Administrative and Support and Waste Management and Remediation Services/5621: Waste Collection,"Transport, refuse truck, diesel powered, Hawaii",f7dbe13e-5a57-3360-812a-c99bd94e1e9b,RNA,UNIT_PROCESS,"This dataset represents the Hawaii average airborne emissions for operating a diesel powered refuse truck. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,t*km,0.13333922575473156,0.0010386245083923314,0.00012375348124438196,3.1088730179097767e-10,0.03638156436980936,1.6758065812926641,0.13203934913729556,4.168597094526051e-05,4.93019879567934e-07,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
Asphalt Mixture_Parameterized/EPD Based System Processes,Portland Cement Concrete; Maschmeyer Concrete ,14134933-d5a9-496a-a64c-2246b7a2c79b,,LCI_RESULT,"Data retrieved from:
Athena Sustainable Materials Institute (2018). EPD for Concrete Produced at 3 Orlando Facilities.
National Ready Mix Concrete Association
Link:
https://www.nrmca.org/wp-content/uploads/2019/10/MaschmeyerNRMCAEPD10021_20180801.pdf
Using Mix: 50090451, page 15, Table 5b",1.0,m3,240.047979,1.18,0.045035431776616196,8.15e-06,23.17,1918.21,240.01,0.0,0.0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
Asphalt Mixture_Parameterized/EPD Based System Processes,Portland Cement Concrete; Advance Ready Mix,c148d086-5971-4bcc-9b46-5a516b89d2ac,,LCI_RESULT,"Data retrieved from:
Gloria, Thomas P,  Stough, Bill,  Overcash, Michael (2019). Environmental Product Declaration for Concrete.
BASF
Link: https://info.nsf.org/Certified/Sustain/ProdCert/EPD10410.pdf",1.0,m3,293.000062444,0.75,0.005374228192009532,1.34e-08,13.8,2150.0,293.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4851: Urban Transit Systems,"Transport, transit bus, diesel powered, South",dd07a541-0512-3a69-a831-bd6d341308fe,RNA,UNIT_PROCESS,"This dataset represents the Southern U.S. (AR, LA, KS, MS, OK, TX (Reference 10)) average airborne emissions for operating a diesel powered transit bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.1170907021300661,0.0011982638468930335,0.00012677273669380433,2.729532063872291e-10,0.0420126369978246,1.4713266737288409,0.11592871136769907,3.689087487887828e-05,4.802772781382548e-07,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4859: Other Transit and Ground Passenger Transportation,"Transport, passenger car, diesel powered",c01e63be-688d-36c6-ba41-07d900691186,RNA,UNIT_PROCESS,"This dataset represents the U.S. average airborne emissions for operating a diesel powered passenger car. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.21158444493346618,0.0007737066299356881,0.0001419380806229165,4.980128893917171e-10,0.027011302646805967,2.6844881498966267,0.20938151233196792,7.11234044827213e-05,7.858217456160442e-07,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
Asphalt Mixture_Parameterized/EPD Based System Processes,Portland Cement Concrete; CalPortland,272e29e8-0848-4e1f-87bf-e14f6a6bb3a5,,LCI_RESULT,"Data retrieved from:
Athena Sustainable Materials Institute (2017). Environmental Product Declaration for Concrete produced at 12 CalPortland California Facilities.
National Ready Mix Concrete Association
Link: https://www.nrmca.org/wp-content/uploads/2019/10/CalPortland_EPD20171228.pdf

Mixture used: 675RN1010, 28 day strength of 5000 psi.
Found at: Table 28",1.0,m3,376.8703556,1.19,0.06304960448726267,8.66e-06,25.65,2572.82,376.83,0.0,0.0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
Asphalt Mixture_Parameterized/EPD Based System Processes,Fabricated Steel Reinforcement; CRSI,6af9defe-07a3-48e7-a0f8-04ad9c4500c8,,LCI_RESULT,"Data retrieved from:
Concrete Reinforcing Steel Institute (2017). Environmental Product Declaration for Fabricated Steel Reinforcement.
Link: https://www.crsi.org/cfcs/cmsIT/baseComponents/fileManagerProxy.cfc?method=GetFile&fileID=83406608-EB89-B478-754D2D0CDBC4D12A",1.0,kg,0.97900073162,0.00475,2.7921967701502042e-05,1.57e-10,0.0591,12700.0,0.979,0.0,0.0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,"Asphalt virgin mix, 5% binder, using GRT - variable x% ",87d53b91-e619-4676-b480-945e5f08699b,,UNIT_PROCESS,This asphalt mixture process consists of all the recent databases imported from LCA + AI GRT binder - variable.,1.0,kg,0.020471730731409888,4.775855816205693e-05,5.0465129608838e-06,1.322383977116302e-11,0.0015421508610010389,0.3152114303284913,0.01910584569900749,4.4077707560317145e-05,4.96645302832009e-07,0,0,0,0,0,0,0,0,0,0,N/A,0.014935397857077889,2.5740138342473776e-05,1.8435689122558568e-06,2.768475473829861e-12,0.0008418775755275518,0.24700996743313083,0.01370618260404249,4.15848830839961e-05,2.4454415898303117e-07,0.23450780749134684,MJ,0,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4859: Other Transit and Ground Passenger Transportation,"Transport, motor home, diesel powered",7687e959-9eed-3227-9fe9-29173b951f34,RNA,UNIT_PROCESS,"This dataset represents the U.S. average airborne emissions for operating a diesel powered motor home. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 5-7).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.688676007828037,0.006984410205884812,0.0007447461674794827,1.6219709648038428e-09,0.24469982378827976,8.743070565524064,0.6819325461644257,0.00021721144352308304,2.456629453398494e-06,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
56: Administrative and Support and Waste Management and Remediation Services/5621: Waste Collection,"Transport, refuse truck, diesel powered, Southwest",57daae53-7301-327d-9a32-b3b3ce19e04f,RNA,UNIT_PROCESS,"This dataset represents the Southwest U.S. (AZ, CO, NM, UT (Reference 10)) average airborne emissions for operating a diesel powered refuse truck. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,t*km,0.13035178305385836,0.0011579144614447098,0.00013000462876098636,3.0394105452728663e-10,0.040549727374185766,1.6383635374220407,0.12908286013597442,4.0783755346775754e-05,4.7171215111953895e-07,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
Asphalt Mixture_Parameterized/EPD Based System Processes,WCS Sand; Polaris Materials,3ce42614-4e2e-4e0b-a467-528dcd5b027f,,LCI_RESULT,"Data retrieved from:
Polaris Materials Corporation (2017). Environmental Product Declaration for Concrete Aggregate Products.
Link: https://www.astm.org/CERTIFICATION/DOCS/344.EPD_Polaris_Materials_final.pdf",1.0,kg,0.001650352296,2e-05,5.404251813193943e-07,7.56e-11,0.0005200000000000001,0.0252,0.00165,0.0,0.0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4852: Interurban and Rural Bus Transportation,"Transport, intercity bus, diesel powered",2087543e-37d4-3a37-b351-e134cbe3e538,RNA,UNIT_PROCESS,"This dataset represents the U.S. average airborne emissions for operating a diesel powered intercity bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.051141872319979874,0.00051867033397353,5.530570685648255e-05,1.2044942911591285e-10,0.018171690319763005,0.6492704747429764,0.05064109510184685,1.613037158958192e-05,1.8243212833774154e-07,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4854: School and Employee Bus Transportation,"Transport, school bus, diesel powered, Northwest",465aca90-3640-3851-a864-01b1c1b247d0,RNA,UNIT_PROCESS,"This dataset represents the Northwestern U.S. (ID, OR, WA (Reference 10)) average airborne emissions for operating a diesel powered school bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.01428502484940999,0.0001426322693854805,1.5232712410796212e-05,3.325537747750117e-11,0.00500796940596096,0.17925975142477066,0.014125116105969712,4.887704595547463e-06,8.617745830897182e-08,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4854: School and Employee Bus Transportation,"Transport, school bus, diesel powered, South",19cb866e-1cfc-3007-b64e-5c5c75492cff,RNA,UNIT_PROCESS,"This dataset represents the Southern U.S. (AR, LA, KS, MS, OK, TX (Reference 10)) average airborne emissions for operating a diesel powered school bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.01462100118486426,0.00012956936872975404,1.45552768238763e-05,3.4053289320237074e-11,0.004548654174018104,0.1835608145741663,0.014463100498922944,4.8069164376188904e-06,8.711643421204427e-08,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
42: Wholesale Trade/4239: Miscellaneous Durable Goods Merchant Wholesalers,RAS ,0f5c2477-0e6d-429f-8986-8463a990190e,,UNIT_PROCESS,,1.0,kg,0.003676605408753083,4.161227906702263e-05,4.158771656231186e-06,7.888599072723758e-12,0.0014648606245119269,0.04454865250673826,0.003622825643323556,1.1773837876957227e-06,7.836991978311039e-08,0,0,0,0,0,0,0,0,0,0,N/A,0.0036766054087530842,4.161227906702262e-05,4.158771656231185e-06,7.88859907272376e-12,0.0014648606245119262,0.044548652506738264,0.0036228256433235573,1.1773837876957233e-06,7.836991978311031e-08,0.041221056901607184,MJ,0,0,0,0,0,0,0,0,0,0,MJ
